#BJD-2454833	K2SC-EAP   EAP    Err
2144.103231 28758.608 28704.018 7.863
2144.123664 28552.530 28499.816 7.855
2144.144096 29023.302 28971.229 7.874
2144.164528 28801.089 28754.166 7.864
2144.184961 27683.960 27636.062 7.818
2144.205393 26489.065 26442.572 7.765
2144.225825 25689.865 25645.348 7.734
2144.246258 26427.985 26385.623 7.764
2144.266690 32763.435 32725.254 8.030
2144.287122 44682.515 44646.012 8.503
2144.307555 55496.808 55461.953 8.914
2144.327987 56910.154 56878.152 8.965
2144.348419 53340.480 53310.219 8.833
2144.368852 49818.965 49793.629 8.699
2144.389284 46860.072 46837.984 8.589
2144.409716 44397.242 44378.875 8.494
2144.430149 42400.048 42385.004 8.416
2144.450581 40515.910 40505.398 8.342
2144.471013 38889.978 38883.461 8.276
2144.491446 37308.515 37305.684 8.214
2144.511878 35870.930 35872.906 8.158
2144.532310 34510.932 34518.902 8.103
2144.552743 33202.009 33215.465 8.050
2144.573175 32115.300 32133.840 8.005
2144.593607 31182.641 31204.445 7.968
2144.614040 30524.853 30551.568 7.940
2144.634472 30095.521 30128.320 7.923
2144.654904 29786.752 29825.805 7.911
2144.675337 29464.268 29508.531 7.897
2144.695769 29034.657 29081.770 7.878
2144.716201 28599.687 28651.643 7.861
2144.736634 28723.208 28781.236 7.867
2144.757066 29063.101 29125.350 7.881
2144.777498 28456.939 28418.980 7.851
2144.797931 27186.457 27145.277 7.798
2144.818363 26042.349 26003.207 7.748
2144.838795 25628.185 25590.510 7.732
2144.859228 27617.274 27581.549 7.817
2144.879660 37423.221 37390.844 8.219
2144.900092 49379.134 49349.074 8.683
2144.920525 57664.841 57636.891 8.993
2144.940957 55973.536 55947.648 8.931
2144.961389 52149.617 52124.566 8.789
2144.981822 48774.288 48752.121 8.662
2145.002254 45970.420 45950.586 8.555
2145.022686 43672.332 43655.258 8.464
2145.043119 41717.696 41701.758 8.389
2145.063551 39945.328 39934.906 8.320
2145.083983 38297.690 38288.559 8.256
2145.104416 36802.617 36795.676 8.195
2145.124848 35357.449 35352.625 8.138
2145.145280 34017.643 34015.684 8.083
2145.165713 32786.520 32788.582 8.031
2145.186145 31774.554 31780.568 7.990
2145.206577 30977.307 30988.225 7.957
2145.227009 30319.917 30334.512 7.933
2145.247442 29934.208 29953.023 7.913
2145.267874 29640.285 29662.955 7.902
2145.288306 29289.253 29317.525 7.889
2145.308739 28785.525 28820.133 7.867
2145.329171 28445.672 28483.971 7.854
2145.349603 28861.443 28904.090 7.873
2145.370036 28881.986 28928.414 7.874
2145.390468 27852.937 27902.541 7.831
2145.410900 26568.054 26622.055 7.776
2145.431333 25604.692 25662.201 7.735
2145.451765 25712.530 25775.215 7.742
2145.472197 30036.443 30103.191 7.922
2145.492630 42594.020 42664.785 8.427
2145.513062 54622.790 54589.422 8.882
2145.533494 58174.747 58136.543 9.013
2145.553926 54731.881 54696.223 8.885
2145.574359 50888.749 50854.504 8.741
2145.594791 47727.096 47695.199 8.622
2145.615223 45109.292 45080.625 8.522
2145.635656 42975.919 42950.164 8.438
2145.656088 41040.535 41018.113 8.363
2145.676520 39283.851 39265.312 8.295
2145.696953 37652.932 37636.875 8.230
2145.717385 36195.345 36181.277 8.172
2145.737817 34822.421 34810.660 8.113
2145.758249 33515.900 33508.023 8.061
2145.778682 32345.332 32340.674 8.014
2145.799114 31378.990 31377.174 7.973
2145.819546 30623.616 30625.293 7.943
2145.839979 30150.224 30155.764 7.924
2145.860411 29810.722 29821.562 7.911
2145.880843 29500.763 29515.848 7.897
2145.901276 29087.415 29106.283 7.881
2145.921708 28629.977 28653.629 7.863
2145.942140 28546.295 28573.732 7.859
2145.962572 28947.318 28978.689 7.877
2145.983005 28615.913 28651.604 7.862
2146.023869 26226.869 26199.576 7.756
2146.044302 25594.201 25566.723 7.732
2146.064734 26867.959 26842.182 7.786
2146.085166 34885.688 34861.312 8.117
2146.105598 46559.256 46536.156 8.580
2146.126031 56349.920 56328.258 8.945
2146.146463 56229.359 56209.578 8.943
2146.166895 52598.953 52581.297 8.808
2146.187328 49224.608 49208.809 8.677
2146.207760 46389.744 46375.953 8.572
2146.228192 44060.908 44049.129 8.482
2146.248625 42076.869 42067.453 8.404
2146.269057 40289.391 40283.223 8.332
2146.289489 38619.408 38615.887 8.268
2146.309921 37109.738 37108.602 8.208
2146.330354 35675.391 35676.504 8.150
2146.350786 34298.516 34303.121 8.097
2146.371218 33038.688 33049.871 8.045
2146.391651 31993.892 32005.100 8.000
2146.412083 31115.081 31130.240 7.967
2146.432515 30468.352 30488.148 7.939
2146.452947 30062.973 30086.021 7.921
2146.473380 29743.416 29770.443 7.908
2146.493812 29442.810 29435.541 7.895
2146.514244 28962.966 28942.814 7.875
2146.534677 28631.004 28613.270 7.861
2146.555109 28858.886 28842.693 7.869
2146.575541 29066.579 29052.557 7.878
2146.595973 28222.172 28211.369 7.845
2146.616406 26955.521 26947.199 7.792
2146.636838 25915.873 25908.803 7.746
2146.657270 25763.268 25757.664 7.741
2146.677702 28699.533 28694.488 7.866
2146.698135 39716.230 39712.977 8.311
2146.718567 51600.933 51599.203 8.768
2146.738999 57801.297 57801.633 8.999
2146.759432 55278.855 55282.012 8.907
2146.779864 51428.893 51433.695 8.764
2146.800296 48163.656 48168.691 8.640
2146.820728 45456.577 45464.062 8.536
2146.841161 43239.882 43248.719 8.452
2146.861593 41298.240 41310.168 8.376
2146.882025 39561.793 39576.312 8.308
2146.902457 37943.353 37959.449 8.245
2146.922890 36469.375 36487.730 8.184
2146.943322 35060.809 35081.809 8.128
2146.963754 33774.255 33798.730 8.075
