#BJD-2454833	K2SC-EAP   EAP    Err
2144.103242 3321.479 3325.048 6.649
2144.123674 3247.155 3250.854 6.646
2144.144106 3173.379 3177.173 6.644
2144.164539 3113.320 3117.245 6.639
2144.184971 3049.219 3053.349 6.636
2144.205403 3006.469 3010.838 6.634
2144.225836 2971.852 2976.482 6.633
2144.246268 2961.885 2966.902 6.632
2144.266700 2956.001 2961.318 6.629
2144.287133 2945.690 2951.319 6.631
2144.307565 2915.097 2921.037 6.631
2144.327998 2869.654 2875.899 6.629
2144.348430 2810.633 2817.249 6.625
2144.368862 2742.918 2749.864 6.621
2144.389295 2755.504 2762.833 6.622
2144.409727 2970.715 2978.440 6.632
2144.430159 3521.485 3529.602 6.658
2144.450592 3872.904 3881.485 6.679
2144.471024 4143.035 4152.010 6.692
2144.491456 4371.184 4380.461 6.704
2144.511889 4372.916 4382.463 6.705
2144.532321 4251.057 4260.815 6.698
2144.552753 4109.553 4119.423 6.688
2144.573186 3960.502 3970.409 6.684
2144.593618 3833.705 3843.586 6.677
2144.614051 3753.060 3762.860 6.672
2144.634483 3625.372 3635.016 6.666
2144.654915 3535.111 3544.522 6.663
2144.675348 3467.275 3476.428 6.659
2144.695780 3394.192 3403.062 6.658
2144.716212 3304.655 3313.186 6.653
2144.736645 3233.999 3242.163 6.646
2144.757077 3153.071 3160.833 6.643
2144.777509 3123.019 3126.940 6.639
2144.797942 3051.525 3054.763 6.636
2144.818374 3019.677 3023.112 6.633
2144.838806 2985.487 2989.115 6.631
2144.859239 2978.012 2981.875 6.633
2144.879671 2953.605 2957.747 6.631
2144.900103 2945.739 2950.162 6.631
2144.920536 2916.842 2921.519 6.628
2144.940968 2848.276 2853.157 6.627
2144.961400 2797.519 2802.674 6.624
2144.981833 2760.535 2765.994 6.622
2145.002265 2785.237 2791.029 6.623
2145.022697 2939.528 2945.725 6.632
2145.043130 3432.415 3439.005 6.655
2145.063562 3827.916 3834.740 6.676
2145.083994 4081.093 4088.257 6.688
2145.104427 4348.160 4355.585 6.702
2145.124859 4351.355 4359.038 6.705
2145.145291 4237.058 4245.122 6.696
2145.165724 4099.749 4108.232 6.690
2145.186156 3949.822 3958.630 6.682
