#BJD-2454833	K2SC-EAP   EAP    Err
2384.463829 3940.151 3948.352 7.711
2384.484262 3647.846 3655.768 7.698
2384.504694 3393.887 3401.634 7.687
2384.525127 3221.291 3228.739 7.678
2384.545559 3038.817 3045.318 7.670
2384.565992 2938.318 2943.971 7.665
2384.586424 2768.995 2774.131 7.659
2384.606857 2696.659 2700.899 7.654
2384.627289 2594.986 2598.422 7.649
2384.647721 2551.922 2555.242 7.647
2384.668154 2514.409 2516.925 7.644
2384.688586 2504.706 2506.450 7.644
2384.709019 2440.872 2442.219 7.642
2384.729451 2420.125 2421.086 7.640
2384.749884 2414.433 2414.916 7.641
2384.770316 2372.103 2372.225 7.640
2384.790749 2408.365 2408.277 7.639
2384.811181 2682.625 2682.220 7.654
2384.831614 3294.271 3293.261 7.681
2384.852046 4050.786 4049.295 7.715
2384.872479 4718.855 4716.945 7.745
2384.892911 4646.322 4648.987 7.746
2384.913344 4293.424 4296.063 7.729
2384.933776 3984.510 3986.874 7.715
2384.954209 3644.872 3646.749 7.699
2384.974641 3393.064 3394.125 7.686
2384.995073 3196.387 3197.081 7.677
2385.015506 2981.751 2982.399 7.668
2385.035938 2860.952 2861.446 7.662
2385.056371 2763.374 2764.436 7.656
2385.076803 2578.247 2579.294 7.652
2385.097236 2483.010 2484.074 7.647
2385.117668 2495.769 2497.023 7.645
2385.138101 2443.496 2444.344 7.644
2385.158533 2430.129 2430.657 7.644
2385.178966 2445.628 2445.758 7.642
2385.199398 2468.618 2468.472 7.643
2385.219830 2424.819 2424.248 7.643
2385.240263 2375.015 2374.184 7.641
2385.260695 2409.934 2408.552 7.641
2385.281128 2582.158 2580.478 7.649
2385.301560 3127.885 3125.736 7.673
2385.321993 4275.566 4273.325 7.727
2385.342425 4661.271 4658.760 7.747
2385.362858 4491.426 4488.734 7.738
2385.383290 4171.081 4168.273 7.723
2385.403723 3862.068 3859.058 7.708
2385.424155 3570.869 3567.764 7.694
2385.444587 3346.069 3342.972 7.683
2385.465020 3128.013 3124.456 7.675
2385.485452 2989.392 2985.466 7.668
2385.505885 2854.603 2850.025 7.663
2385.526317 2771.762 2766.961 7.657
2385.546750 2647.654 2642.169 7.651
2385.567182 2562.869 2557.151 7.648
2385.587615 2480.173 2473.629 7.644
2385.608047 2451.483 2444.646 7.644
2385.628479 2447.279 2440.058 7.644
2385.648912 2405.968 2398.814 7.641
2385.669344 2412.322 2405.001 7.640
2385.689777 2350.639 2342.974 7.638
2385.710209 2362.243 2354.750 7.638
2385.730642 2480.202 2472.568 7.644
2385.751074 2674.339 2666.511 7.654
2385.771506 3021.953 3013.643 7.669
2385.791939 3875.582 3866.997 7.708
2385.812371 4656.304 4647.573 7.746
2385.832804 4543.590 4534.442 7.739
2385.853236 4220.180 4210.973 7.724
2385.873669 3882.986 3873.662 7.709
2385.894101 3579.291 3569.558 7.695
2385.914534 3315.187 3305.097 7.683
2385.934966 3141.484 3131.032 7.674
2385.955398 2952.283 2941.524 7.666
2385.975831 2816.772 2805.849 7.660
2385.996263 2708.427 2697.461 7.655
2386.016696 2589.880 2579.064 7.649
2386.037128 2454.360 2443.620 7.644
2386.057560 2386.400 2375.930 7.642
2386.077993 2375.829 2365.189 7.641
2386.098425 2362.622 2351.439 7.640
2386.118858 2398.586 2395.090 7.640
2386.139290 2415.082 2409.434 7.641
2386.159723 2510.412 2504.610 7.643
2386.180155 2340.792 2334.741 7.637
2386.200588 2362.214 2357.016 7.638
2386.221020 2645.028 2640.448 7.650
2386.241452 3360.655 3356.153 7.681
2386.261885 3961.701 3957.160 7.712
