#BJD-2454833	K2SC-EAP   EAP    Err
2384.463357 1968.250 1939.363 4.206
2384.483790 1962.895 1933.639 4.206
2384.504222 1935.395 1905.331 4.205
2384.524654 1940.511 1910.356 4.204
2384.545087 1919.342 1888.250 4.203
2384.565519 1937.493 1906.745 4.204
2384.585951 2007.507 1977.391 4.208
2384.606384 2098.474 2068.992 4.217
2384.626816 2267.448 2238.884 4.230
2384.647248 2369.104 2340.576 4.238
2384.667680 2491.554 2463.159 4.248
2384.688113 2585.589 2557.510 4.255
2384.708545 2584.291 2556.434 4.256
2384.728977 2568.280 2540.365 4.254
2384.749410 2504.814 2475.646 4.250
2384.769842 2467.471 2437.618 4.246
2384.790274 2419.245 2388.813 4.241
2384.810707 2359.073 2327.596 4.237
2384.831139 2282.193 2250.123 4.232
2384.851571 2262.678 2230.463 4.228
2384.872003 2216.381 2184.496 4.225
2384.892436 2167.561 2157.661 4.222
2384.912868 2130.522 2121.948 4.220
2384.933300 2093.345 2084.946 4.216
2384.953733 2099.972 2091.684 4.214
2384.974165 2035.056 2027.150 4.211
2384.994597 2008.099 2000.627 4.208
2385.015029 1974.375 1966.566 4.207
2385.035462 1984.029 1976.590 4.206
2385.055894 1959.298 1951.324 4.206
2385.076326 1953.224 1945.443 4.206
2385.096759 1946.593 1938.382 4.204
2385.117191 1948.319 1939.718 4.204
2385.137623 1929.413 1920.812 4.203
2385.158055 1943.494 1934.834 4.203
2385.178488 1958.842 1950.852 4.205
2385.198920 2025.928 2018.856 4.211
2385.219352 2177.686 2170.763 4.223
2385.239785 2337.889 2330.203 4.236
2385.260217 2428.358 2421.017 4.244
2385.280649 2533.351 2525.918 4.252
2385.301081 2578.754 2571.511 4.256
2385.321514 2559.505 2551.746 4.255
2385.341946 2537.674 2530.073 4.252
2385.362378 2472.474 2464.403 4.248
2385.382810 2431.674 2423.130 4.245
2385.403243 2378.395 2370.034 4.240
2385.423675 2304.432 2295.472 4.236
2385.444107 2277.976 2268.614 4.233
2385.464540 2244.238 2234.891 4.228
2385.484972 2174.804 2165.507 4.223
2385.505404 2144.177 2134.788 4.220
2385.525836 2104.948 2095.632 4.218
2385.546269 2085.443 2076.343 4.215
2385.566701 2009.438 2000.100 4.213
2385.587133 2004.742 1995.544 4.211
2385.607566 1993.873 1984.753 4.209
2385.627998 1974.046 1964.602 4.207
2385.648430 1977.028 1967.122 4.207
2385.668862 1963.149 1952.974 4.205
2385.689295 1959.655 1948.409 4.207
2385.709727 1964.301 1952.814 4.205
2385.730159 1932.520 1920.297 4.204
2385.750592 1938.284 1925.782 4.204
2385.771024 1940.133 1928.016 4.204
2385.791456 1984.513 1973.517 4.208
2385.811888 2079.527 2068.509 4.215
2385.832321 2229.363 2218.965 4.227
2385.852753 2365.954 2355.492 4.237
2385.873185 2460.420 2450.327 4.247
2385.893617 2548.135 2537.928 4.253
2385.914050 2578.151 2567.340 4.256
2385.934482 2548.158 2537.033 4.254
2385.954914 2513.092 2501.368 4.251
2385.975346 2447.916 2436.292 4.247
2385.995779 2406.972 2394.387 4.241
2386.016211 2370.038 2356.214 4.238
2386.036643 2316.488 2301.845 4.234
2386.057075 2277.228 2261.818 4.231
2386.077508 2230.709 2214.902 4.227
2386.097940 2196.287 2180.882 4.223
2386.118372 2116.467 2127.089 4.219
2386.138805 2097.321 2109.679 4.216
2386.159237 2087.741 2100.244 4.213
2386.179669 2036.909 2049.251 4.211
2386.200101 2023.334 2035.578 4.209
2386.220534 1988.970 2001.126 4.208
2386.240966 1983.353 1995.197 4.207
2386.261398 1963.093 1975.095 4.206
2386.281830 1966.482 1978.318 4.205
2386.302263 1942.311 1953.845 4.205
2386.322695 1937.710 1948.981 4.204
2386.343127 1950.901 1962.015 4.203
2386.383992 1944.983 1949.441 4.207
2386.404424 2010.802 2015.890 4.211
2386.424856 2144.456 2149.958 4.221
2386.445288 2288.491 2294.070 4.234
2386.465721 2393.562 2399.017 4.242
2386.486153 2521.851 2527.083 4.250
2386.506585 2560.452 2565.635 4.255
2386.527017 2566.030 2571.070 4.255
2386.547450 2534.936 2539.647 4.253
2386.567882 2496.135 2500.728 4.249
2386.588314 2437.697 2440.871 4.246
2386.608746 2404.011 2406.863 4.242
2386.629179 2347.660 2350.065 4.239
2386.649611 2314.491 2316.319 4.235
2386.670043 2236.218 2238.200 4.231
2386.690475 2217.802 2219.517 4.227
2386.710908 2173.322 2175.859 4.223
2386.731340 2122.025 2124.358 4.218
2386.751772 2076.615 2079.120 4.215
2386.772204 2080.889 2082.919 4.213
2386.792637 2035.860 2037.610 4.211
2386.813069 2017.528 2019.448 4.210
2386.833501 1982.276 1983.950 4.208
2386.853933 1975.634 1976.794 4.207
2386.874366 1965.247 1966.542 4.206
2386.894798 1961.115 1961.920 4.206
2386.915230 1940.245 1940.582 4.205
2386.935662 1928.979 1928.927 4.204
2386.956095 1941.247 1941.298 4.204
2386.976527 1947.741 1947.478 4.205
2386.996959 2005.810 2005.551 4.208
2387.017391 2087.092 2087.222 4.216
2387.037824 2234.524 2234.629 4.227
2387.058256 2352.222 2351.932 4.238
2387.078688 2444.792 2444.067 4.246
2387.099120 2521.076 2520.405 4.253
2387.119553 2550.589 2549.497 4.256
2387.139985 2540.960 2539.182 4.254
2387.160417 2494.964 2493.319 4.250
2387.180849 2439.791 2437.870 4.246
2387.201281 2402.963 2401.422 4.242
2387.221714 2355.438 2353.356 4.239
2387.242146 2310.305 2307.035 4.236
2387.262578 2268.238 2264.437 4.231
2387.283010 2213.213 2209.300 4.226
2387.303443 2194.608 2191.195 4.224
2387.323875 2151.128 2147.541 4.221
2387.344307 2097.918 2094.277 4.218
2387.364739 2073.561 2070.370 4.215
2387.385172 2051.390 2048.074 4.212
2387.405604 2031.532 2027.987 4.211
2387.426036 2006.429 2001.968 4.210
2387.446468 1970.860 1966.254 4.208
2387.466901 1982.961 1977.572 4.208
2387.487333 1976.844 1970.806 4.207
2387.507765 1969.740 1962.861 4.207
2387.528197 1973.830 1966.126 4.206
2387.548629 1934.828 1926.399 4.205
2387.569062 1944.371 1935.172 4.205
2387.589494 1921.674 1931.856 4.207
