#BJD-2454833	K2SC-EAP   EAP    Err
2144.103097 10799.613 10685.093 9.876
2144.123530 10556.768 10443.268 9.867
2144.143962 10437.930 10322.776 9.861
2144.164394 10405.758 10298.337 9.858
2144.184827 10292.601 10179.105 9.856
2144.205259 10230.102 10115.832 9.855
2144.225691 10377.904 10261.804 9.859
2144.246123 10433.576 10317.249 9.862
2144.266556 10254.816 10139.035 9.856
2144.286988 9806.985 9682.729 9.841
2144.307420 9494.201 9364.809 9.830
2144.327853 9505.342 9370.468 9.830
2144.348285 10593.903 10450.928 9.868
2144.368717 13758.960 13618.758 9.981
2144.389150 16569.858 16430.531 10.080
2144.409582 18312.929 18171.428 10.142
2144.430014 17860.879 17716.611 10.124
2144.450446 16841.036 16694.316 10.089
2144.470879 15827.938 15677.555 10.054
2144.491311 15010.707 14855.851 10.026
2144.511743 14360.057 14199.122 10.003
2144.532175 13818.228 13651.899 9.984
2144.552608 13305.744 13135.139 9.967
2144.573040 12868.411 12692.555 9.953
2144.593472 12501.850 12317.679 9.938
2144.613905 11941.305 11748.904 9.923
2144.634337 11625.149 11424.509 9.907
2144.654769 11333.046 11117.023 9.895
2144.675202 10991.583 10757.526 9.881
2144.695634 10755.768 10500.451 9.871
2144.716066 10463.246 10189.433 9.865
2144.736498 10309.352 10010.023 9.861
2144.756931 10319.264 9987.036 9.857
2144.777363 10144.318 10012.892 9.856
2144.797795 10215.475 10059.144 9.855
2144.818228 10205.359 10050.719 9.857
2144.838660 10328.103 10171.856 9.861
2144.859092 10237.139 10073.531 9.856
2144.879524 9863.713 9690.979 9.842
2144.899957 9530.247 9356.484 9.828
2144.920389 9456.254 9274.951 9.826
2144.940821 10333.165 10162.916 9.860
2144.961254 13408.837 13227.018 9.971
2144.981686 16104.414 15920.382 10.074
2145.002118 18060.426 17880.793 10.144
2145.022550 17674.391 17500.070 10.128
2145.042983 16657.093 16481.812 10.091
2145.063415 15775.700 15600.598 10.057
2145.083847 14957.053 14785.183 10.028
2145.104279 14337.013 14164.132 10.006
2145.124712 13762.675 13581.693 9.983
2145.145144 13321.213 13129.633 9.969
2145.165576 12886.031 12701.624 9.953
2145.186008 12471.585 12291.262 9.938
2145.206441 12034.775 11853.137 9.924
2145.226873 11615.382 11435.015 9.910
2145.247305 11259.150 11076.533 9.897
2145.267738 10972.951 10785.475 9.884
2145.288170 10627.973 10438.733 9.874
2145.308602 10410.450 10213.461 9.866
2145.329034 10271.178 10061.289 9.860
2145.349467 10250.342 10034.312 9.857
2145.369899 10111.084 9887.976 9.855
2145.390331 10074.564 9834.114 9.853
2145.410763 10240.581 9975.185 9.856
2145.451628 10204.309 9861.736 9.854
2145.472060 9872.436 9479.482 9.843
2145.492493 9519.551 9080.578 9.829
2145.512925 9298.791 9173.848 9.826
2145.533357 10045.151 9883.873 9.852
2145.553789 13001.153 12858.931 9.960
2145.574221 15934.840 15783.526 10.063
2145.594654 18062.155 17893.682 10.140
2145.615086 17903.798 17723.709 10.136
2145.635518 16672.734 16490.584 10.093
2145.655951 15687.299 15492.681 10.060
2145.676383 14952.030 14752.620 10.031
2145.696815 14229.957 14025.799 10.006
2145.717247 13630.116 13423.234 9.987
2145.737680 13418.935 13207.755 9.977
2145.758112 12929.318 12719.590 9.955
2145.778544 12497.337 12295.597 9.940
2145.798976 12029.659 11827.751 9.924
2145.819409 11640.782 11447.090 9.912
2145.839841 11273.828 11081.456 9.899
2145.860273 10964.149 10767.994 9.886
2145.880705 10655.904 10451.948 9.877
2145.901138 10415.209 10203.786 9.867
2145.921570 10261.286 10059.857 9.860
2145.942002 10228.658 10017.024 9.858
2145.962434 10137.672 9912.313 9.855
2145.982867 10164.749 9917.378 9.854
2146.023731 10201.742 10019.097 9.862
2146.044163 10126.218 9933.454 9.858
2146.064596 9846.516 9650.308 9.846
2146.085028 9509.772 9305.449 9.831
2146.105460 9323.000 9108.305 9.826
2146.125892 9996.684 9769.290 9.848
2146.146324 12631.154 12404.220 9.948
2146.166757 15585.516 15359.896 10.058
2146.187189 18014.790 17791.797 10.141
2146.207621 17869.382 17645.404 10.138
2146.228053 16881.178 16660.867 10.100
2146.248486 15764.795 15530.461 10.066
2146.268918 15052.974 14825.795 10.034
2146.289350 14423.939 14206.686 10.009
2146.309782 13866.509 13664.187 9.988
2146.330215 13325.924 13135.743 9.971
2146.350647 12860.754 12677.834 9.954
2146.371079 12392.640 12210.370 9.941
2146.391511 12002.480 11825.747 9.927
2146.411944 11669.341 11482.566 9.914
2146.432376 11307.910 11104.691 9.900
2146.452808 10954.508 10750.354 9.888
2146.473240 10642.063 10439.587 9.877
2146.493673 10517.022 10303.079 9.869
2146.514105 10395.686 10167.444 9.862
2146.534537 10235.494 10008.886 9.860
2146.554969 10179.539 9950.656 9.855
2146.575402 10019.629 9798.473 9.854
2146.595834 10152.286 9933.493 9.856
2146.616266 10234.947 10018.060 9.861
2146.636698 10237.313 10014.154 9.859
2146.657130 9856.782 9635.007 9.845
2146.677563 9447.091 9225.367 9.832
2146.697995 9239.536 9022.565 9.825
2146.718427 9735.124 9525.015 9.843
2146.738859 12271.937 12068.251 9.935
2146.759292 15507.937 15317.837 10.050
2146.779724 17899.900 17727.320 10.139
2146.800156 17930.144 17763.314 10.139
2146.820588 16960.416 16808.920 10.104
2146.841021 15979.020 15830.518 10.067
2146.861453 15113.688 14967.953 10.037
2146.881885 14463.334 14305.323 10.012
2146.902317 13791.797 13634.779 9.992
2146.922749 13283.862 13124.509 9.973
2146.943182 12852.620 12687.391 9.957
2146.963614 12434.053 12245.282 9.943
2146.984046 12041.836 11856.969 9.929
2147.004478 11705.438 11519.521 9.914
2147.024911 11352.083 11156.617 9.901
2147.045343 10998.958 10796.580 9.889
2147.065775 10675.152 10471.680 9.876
2147.086207 10487.075 10279.896 9.869
2147.106639 10242.260 10030.854 9.862
2147.127072 10171.221 9955.750 9.858
2147.147504 10130.142 9911.820 9.856
2147.167936 10131.875 9910.146 9.855
2147.188368 10124.061 9893.290 9.856
2147.208800 10201.870 9966.096 9.859
2147.229233 10158.712 9914.913 9.859
2147.249665 9850.299 9594.291 9.849
2147.270097 9554.182 9278.314 9.834
2147.290529 9273.841 8976.991 9.826
2147.310962 9660.995 9341.661 9.840
2147.331394 11827.450 11472.514 9.922
2147.351826 15256.230 14864.411 10.041
2147.372258 17612.963 17182.229 10.137
2147.392690 17854.840 17388.494 10.145
2147.413123 17041.927 16546.818 10.111
2147.433555 16100.506 15580.983 10.070
2147.453987 15043.147 14503.883 10.039
2147.474419 14336.237 14134.508 10.014
2147.494851 13895.691 13713.033 9.993
2147.515284 13300.888 13118.439 9.977
2147.535716 12827.335 12636.954 9.959
2147.556148 12471.042 12277.779 9.944
2147.576580 12089.183 11888.375 9.929
2147.597012 11691.895 11481.566 9.916
2147.617445 11354.322 11128.936 9.903
2147.637877 11067.516 10835.851 9.891
2147.658309 10727.235 10485.078 9.878
2147.678741 10486.341 10250.095 9.870
2147.699173 10312.444 10084.479 9.863
2147.719606 10169.769 9944.299 9.858
2147.740038 10094.710 9872.529 9.856
2147.760470 10070.304 9841.946 9.854
2147.780902 10061.818 9831.296 9.855
2147.801334 10172.968 9938.406 9.859
2147.821767 10251.809 10001.449 9.859
2147.842199 9778.063 9551.172 9.848
2147.862631 9532.937 9299.817 9.835
2147.883063 9284.430 9047.934 9.826
2147.903495 9529.932 9305.928 9.836
2147.923928 11507.561 11285.534 9.909
2147.944360 14969.493 14743.248 10.031
2147.985224 17936.168 17703.680 10.148
2148.005657 17042.815 16801.939 10.114
2148.026089 16094.610 15859.882 10.075
2148.046521 15092.544 14866.752 10.042
2148.066953 14381.915 14164.529 10.015
2148.087385 13838.913 13613.770 9.995
2148.107817 13384.135 13162.548 9.977
2148.128250 13020.697 12781.797 9.960
2148.148682 12615.838 12397.435 9.945
2148.169114 12107.810 11892.830 9.931
2148.189546 11734.145 11524.153 9.918
2148.209978 11370.252 11168.754 9.904
2148.230411 10967.809 10789.104 9.891
2148.250843 10629.336 10481.493 9.880
2148.271275 10350.373 10211.438 9.870
2148.291707 10209.717 10071.549 9.864
2148.312139 10165.489 10020.277 9.860
2148.332571 10053.154 9906.934 9.857
2148.353004 10047.913 9869.316 9.855
2148.373436 10069.816 9882.584 9.856
2148.393868 10098.586 9899.834 9.858
2148.414300 10206.282 10002.826 9.860
2148.434732 9868.690 9660.220 9.851
2148.455165 9543.350 9382.220 9.835
2148.475597 9204.023 9049.393 9.825
2148.496029 9425.110 9258.100 9.833
2148.516461 11163.023 10994.426 9.898
2148.536893 14646.164 14470.433 10.023
2148.557326 17486.485 17304.980 10.124
2148.577758 18162.634 17988.445 10.150
2148.598190 17182.011 17004.900 10.118
2148.618622 16154.950 15980.332 10.078
2148.639054 15335.285 15157.286 10.046
2148.659487 14501.215 14320.907 10.020
2148.679919 13820.019 13627.969 9.999
2148.700351 13435.211 13218.136 9.979
2148.720783 12933.180 12703.558 9.963
2148.741215 12559.740 12333.550 9.947
2148.761647 12173.264 11959.387 9.933
2148.782080 11771.885 11561.334 9.919
2148.802512 11431.833 11209.671 9.906
2148.822944 11100.154 10882.351 9.893
2148.843376 10694.475 10484.484 9.880
2148.863808 10486.077 10275.013 9.873
2148.884240 10281.299 10077.464 9.864
2148.904672 10148.555 9964.355 9.860
2148.925105 10110.678 9958.135 9.859
2148.945537 9956.197 9828.293 9.856
2148.965969 9956.729 9833.738 9.856
2148.986401 10046.822 9925.650 9.860
2149.006833 10109.432 9978.268 9.862
2149.027266 9887.735 9756.948 9.852
2149.047698 9502.174 9329.649 9.838
2149.068130 9177.257 9010.402 9.828
2149.088562 9320.751 9143.207 9.831
2149.108994 10841.542 10650.139 9.887
2149.129426 14400.462 14201.219 10.013
2149.149859 17214.893 17007.697 10.115
2149.170291 18264.962 18048.334 10.151
2149.190723 17367.225 17144.738 10.120
2149.211155 16275.788 16051.088 10.082
2149.231587 15338.247 15106.610 10.051
2149.252019 14556.871 14311.280 10.022
2149.272452 13973.295 13716.790 10.000
2149.292884 13429.021 13157.345 9.981
2149.313316 13001.519 12720.745 9.965
2149.333748 12560.273 12265.620 9.949
2149.354180 12192.145 11893.424 9.937
2149.374612 11808.620 11494.934 9.922
2149.395044 11479.016 11154.906 9.907
2149.415477 11081.661 10733.121 9.893
2149.435909 10548.954 10448.865 9.879
2149.456341 10469.753 10366.120 9.870
2149.476773 10279.707 10174.422 9.864
2149.497205 10147.647 10041.185 9.860
2149.517637 10051.331 9944.877 9.858
2149.538070 10033.219 9921.744 9.856
2149.558502 10029.774 9916.903 9.856
2149.578934 10079.585 9965.629 9.858
2149.599366 10142.951 10029.897 9.861
2149.619798 9953.106 9842.277 9.856
2149.640230 9501.711 9384.736 9.841
2149.660663 9205.557 9085.797 9.828
2149.681095 9276.465 9150.620 9.830
2149.701527 10567.985 10441.689 9.878
2149.721959 14049.659 13919.498 10.003
2149.742391 17009.110 16863.297 10.109
2149.762823 18338.865 18202.916 10.156
2149.783255 17591.438 17447.531 10.128
2149.803687 16462.983 16318.598 10.088
2149.824120 15462.601 15315.183 10.054
2149.844552 14693.498 14535.087 10.027
2149.864984 14147.919 13991.668 10.004
2149.885416 13529.291 13380.112 9.983
2149.905848 13122.149 12976.994 9.967
2149.946713 12231.623 12054.053 9.936
2149.967145 11835.181 11654.156 9.922
2149.987577 11451.883 11260.926 9.909
2150.008009 11120.208 10936.806 9.896
2150.028441 10797.714 10620.174 9.884
2150.048873 10482.836 10307.803 9.875
2150.069306 10280.860 10106.107 9.867
2150.089738 10189.342 10010.416 9.863
2150.110170 10100.585 9929.523 9.860
2150.130602 9999.786 9840.179 9.858
2150.151034 9982.930 9842.193 9.857
2150.171466 10002.805 9860.134 9.860
2150.191898 10099.274 9972.755 9.862
2150.212330 9916.518 9798.941 9.857
2150.232763 9524.032 9417.190 9.843
2150.253195 9173.779 9072.608 9.831
2150.273627 9174.074 9077.365 9.830
2150.294059 10263.787 10171.521 9.870
2150.314491 13740.931 13645.933 9.993
2150.334923 16789.987 16687.873 10.102
2150.355355 18219.990 18115.688 10.157
2150.375788 17521.124 17419.521 10.132
2150.396220 16427.154 16326.005 10.091
2150.416652 15514.570 15409.962 10.056
2150.437084 14758.979 14641.050 10.029
2150.457516 14182.677 14015.716 10.005
2150.477948 13569.132 13394.508 9.985
2150.498380 13040.031 12910.071 9.968
2150.518812 12583.440 12472.801 9.954
2150.539245 12279.211 12164.879 9.939
2150.559677 11866.130 11699.259 9.925
2150.580109 11498.713 11327.884 9.911
2150.600541 11115.677 10932.861 9.897
2150.620973 10697.181 10521.988 9.885
2150.641405 10578.898 10401.640 9.874
2150.661837 10212.498 10101.402 9.866
2150.682270 10111.225 10008.313 9.862
2150.702702 10098.177 9995.594 9.861
2150.723134 10037.286 9915.335 9.859
2150.743566 9932.084 9813.598 9.857
2150.763998 9971.922 9851.798 9.859
2150.784430 10113.734 9995.423 9.862
2150.804862 9886.041 9769.069 9.857
2150.825294 9601.327 9478.509 9.844
2150.845727 9209.189 9079.271 9.831
2150.866159 9189.068 9062.298 9.830
2150.886591 10075.892 9955.167 9.863
2150.907023 13427.334 13309.705 9.983
2150.927455 16510.841 16395.902 10.095
2150.947887 18259.267 18148.285 10.159
2150.968319 17655.951 17543.760 10.138
2150.988751 16717.773 16597.875 10.120
2151.009183 15535.188 15420.368 10.059
2151.029616 14678.317 14562.632 10.030
2151.050048 14116.027 14000.624 10.007
2151.070480 13565.366 13449.818 9.987
2151.090912 12912.368 12795.835 9.969
2151.111344 12644.315 12525.727 9.955
2151.131776 12233.448 12113.982 9.940
2151.152208 11797.937 11676.150 9.925
2151.172640 11449.003 11322.728 9.912
2151.193072 11033.985 10904.300 9.899
2151.213505 10787.289 10655.338 9.888
2151.233937 10475.910 10339.504 9.877
2151.254369 10269.572 10111.835 9.868
2151.274801 10091.391 9936.582 9.864
2151.295233 10065.209 9903.556 9.861
2151.315665 10088.601 9927.551 9.859
2151.336097 10003.259 9840.818 9.857
2151.356529 10095.300 9935.214 9.859
2151.376962 10125.130 9971.191 9.862
2151.397394 9988.005 9838.993 9.859
2151.417826 9556.633 9408.095 9.846
2151.438258 9316.946 9168.475 9.833
2151.458690 9155.542 9005.317 9.829
2151.479122 9924.739 9776.994 9.857
2151.499554 13061.043 12915.032 9.971
2151.519986 16207.187 16058.394 10.085
2151.540418 18075.487 17928.889 10.157
2151.560850 17621.940 17467.768 10.140
2151.581283 16532.048 16374.645 10.100
2151.601715 15549.583 15386.411 10.063
2151.622147 14678.723 14521.020 10.034
2151.642579 14160.236 14007.050 10.010
2151.663011 13548.441 13395.239 9.989
2151.683443 13162.105 13009.367 9.973
2151.703875 12726.932 12575.852 9.957
2151.724307 12405.253 12259.256 9.944
2151.744739 11843.880 11703.021 9.928
2151.765171 11475.178 11349.045 9.936
2151.785604 11072.134 10929.423 9.901
2151.806036 10803.159 10666.584 9.889
2151.826468 10496.429 10360.589 9.879
2151.846900 10158.210 10021.304 9.872
2151.867332 10162.747 10035.644 9.866
2151.908196 9958.816 9868.200 9.859
2151.928628 9904.772 9814.785 9.859
2151.949060 9986.784 9901.471 9.861
2151.969493 10109.371 10026.043 9.866
2151.989925 9932.111 9847.268 9.861
2152.010357 9616.275 9528.253 9.849
2152.030789 9287.179 9197.186 9.836
2152.051221 9079.823 8988.361 9.829
2152.071653 9736.400 9644.674 9.854
2152.092085 12633.687 12543.064 9.960
2152.112517 15902.463 15808.686 10.078
2152.132949 18173.388 18069.395 10.160
2152.153381 17868.687 17763.381 10.147
2152.173813 16697.859 16593.527 10.107
2152.194245 15707.927 15598.250 10.070
2152.214678 14822.888 14703.945 10.039
2152.235110 14134.067 14010.829 10.014
2152.255542 13601.114 13478.058 9.993
2152.275974 13098.662 12962.718 9.975
2152.296406 12698.235 12562.174 9.959
2152.316838 12286.597 12151.364 9.947
2152.337270 11906.448 11773.801 9.930
2152.357702 11526.384 11397.965 9.917
2152.378134 11161.316 11037.864 9.904
2152.398566 10759.566 10632.619 9.892
2152.418998 10476.847 10352.442 9.880
2152.439431 10293.879 10169.565 9.873
2152.459863 10105.030 9982.225 9.867
2152.480295 9974.734 9854.967 9.864
2152.500727 9983.586 9858.271 9.862
2152.521159 9895.116 9766.833 9.860
2152.541591 10088.968 9955.281 9.863
2152.562023 10134.435 10000.982 9.867
2152.582455 10035.265 9910.984 9.864
2152.602887 9681.046 9554.238 9.852
2152.623319 9335.169 9206.601 9.838
2152.643751 9156.064 9028.159 9.832
2152.664183 9649.156 9524.793 9.849
2152.684616 12310.994 12189.308 9.945
2152.705048 15681.650 15562.842 10.068
2152.725480 18089.551 17973.988 10.155
2152.745912 17952.135 17836.916 10.150
2152.766344 16851.973 16746.148 10.111
2152.786776 15829.586 15726.085 10.073
2152.807208 14891.272 14802.511 10.043
2152.827640 14274.704 14202.568 10.017
2152.848072 13711.588 13641.933 9.997
2152.868504 13222.401 13153.317 9.979
2152.888936 12727.864 12662.510 9.964
2152.909368 12257.925 12193.098 9.947
2152.929800 11862.994 11809.170 9.933
2152.950233 11477.143 11430.745 9.919
2152.970665 11056.056 11012.617 9.906
2152.991097 10758.943 10713.902 9.894
2153.011529 10457.806 10411.186 9.883
2153.031961 10268.656 10220.917 9.874
2153.052393 10186.753 10135.982 9.868
2153.072825 9918.340 9866.754 9.865
2153.093257 9949.093 9893.422 9.862
2153.113689 9876.793 9810.753 9.862
2153.134121 9906.976 9834.093 9.863
2153.154553 10113.704 10014.232 9.868
2153.174985 10031.447 9910.329 9.866
2153.195417 9698.038 9569.248 9.854
2153.215850 9399.210 9266.102 9.841
2153.236281 9108.382 8980.717 9.833
2153.256714 9488.572 9363.731 9.847
2153.277146 11936.911 11809.739 9.935
2153.297578 15354.660 15223.680 10.058
2153.318010 17860.110 17726.508 10.151
2153.338442 17944.895 17805.154 10.154
2153.358874 16853.839 16823.889 10.114
2153.379306 15985.320 15915.705 10.077
2153.399738 14976.984 14907.328 10.046
2153.420170 14328.151 14255.911 10.021
2153.440602 13689.419 13614.887 10.000
2153.461034 13119.812 13046.942 9.982
2153.481466 12680.458 12609.367 9.965
2153.501898 12305.234 12231.260 9.951
2153.522330 11829.223 11757.594 9.936
2153.542762 11521.925 11458.232 9.922
2153.563194 11083.718 11016.770 9.909
2153.583627 10810.221 10744.108 9.896
2153.604059 10551.973 10482.583 9.887
2153.624491 10252.807 10182.682 9.876
2153.644923 10129.213 10057.957 9.871
2153.665355 10080.287 10005.979 9.867
2153.685787 9949.607 9873.489 9.865
