#BJD-2454833	K2SC-EAP   EAP    Err
2384.463049 99916.181 99891.414 11.296
2384.483481 93915.946 93883.945 11.119
2384.503913 88852.770 88813.375 10.971
2384.524345 84646.405 84601.133 10.839
2384.544777 80810.267 80757.781 10.721
2384.565210 77298.986 77240.906 10.609
2384.585642 74025.809 73962.680 10.509
2384.606074 71058.046 70989.867 10.413
2384.626506 68297.900 68225.844 10.325
2384.646938 65903.135 65825.797 10.248
2384.667371 63676.175 63594.562 10.174
2384.687803 61787.940 61703.113 10.112
2384.708235 60204.524 60114.805 10.060
2384.728667 59004.264 58910.680 10.017
2384.749099 58130.536 58029.812 9.986
2384.769531 57188.548 57083.109 9.956
2384.789964 56282.601 56171.094 9.922
2384.810396 55087.488 54970.703 9.885
2384.830828 54096.994 53972.441 9.851
2384.851260 54050.414 53923.926 9.845
2384.871692 54528.282 54396.828 9.861
2384.892125 54491.700 54473.895 9.875
2384.912557 52913.148 52897.828 9.818
2384.932989 50851.109 50833.691 9.747
2384.953421 48913.421 48892.703 9.681
2384.973853 48072.588 48050.188 9.653
2384.994285 50475.390 50451.352 9.737
2385.014718 63905.956 63879.223 10.184
2385.035150 88125.370 88096.203 10.944
2385.055582 108843.448 108809.906 11.550
2385.076014 112950.966 112913.859 11.666
2385.096446 106671.843 106630.367 11.491
2385.116879 99702.533 99656.117 11.289
2385.137311 93765.421 93714.016 11.116
2385.157743 88686.810 88632.633 10.964
2385.178175 84361.071 84306.203 10.835
2385.198607 80537.104 80481.992 10.714
2385.219040 76864.775 76809.273 10.600
2385.239472 73551.540 73491.977 10.497
2385.259904 70593.647 70530.648 10.403
2385.280336 67976.672 67910.914 10.318
2385.300768 65684.296 65615.930 10.240
2385.321200 63546.002 63474.199 10.173
2385.341633 61717.083 61642.746 10.112
2385.362065 60293.218 60215.102 10.063
2385.382497 59068.858 58986.992 10.024
2385.402929 58112.544 58028.035 9.991
2385.423361 57225.191 57138.211 9.961
2385.443793 56291.753 56201.840 9.927
2385.464226 55054.273 54961.840 9.890
2385.484658 54263.087 54167.293 9.859
2385.505090 54310.143 54211.941 9.863
2385.525522 54942.906 54841.219 9.881
2385.545954 54434.522 54329.770 9.866
2385.566386 52646.807 52538.840 9.804
2385.586819 50501.044 50389.805 9.731
2385.607251 48782.139 48668.113 9.668
2385.627683 47998.753 47881.555 9.644
2385.648115 51002.539 50882.984 9.746
2385.668547 65902.667 65779.531 10.241
2385.688979 88518.229 88391.102 10.949
2385.709412 108025.627 107896.250 11.517
2385.729844 110662.828 110529.594 11.590
2385.750276 104402.746 104267.695 11.412
2385.770708 97694.046 97557.773 11.217
2385.791140 92030.865 91893.898 11.050
2385.811573 87235.489 87098.172 10.909
2385.832005 83167.043 83028.797 10.780
2385.852437 79347.543 79207.539 10.666
2385.872869 76021.573 75882.141 10.560
2385.893301 72792.619 72649.664 10.460
2385.913733 70042.590 69896.102 10.371
2385.934166 67488.984 67337.852 10.287
2385.954598 65209.482 65055.230 10.211
2385.975030 63069.576 62912.766 10.145
2385.995462 61339.853 61179.719 10.082
2386.015894 59851.615 59687.875 10.034
2386.036326 58719.223 58551.406 9.996
2386.056758 57774.675 57602.930 9.964
2386.077191 56948.092 56772.863 9.934
2386.097623 56040.644 55862.113 9.902
2386.118055 55341.283 55365.457 9.900
2386.138487 54796.705 54840.043 9.874
2386.158919 54957.532 54999.445 9.880
2386.179351 55335.072 55373.191 9.893
2386.199784 54494.424 54529.395 9.864
2386.220216 52632.677 52664.102 9.803
2386.240648 50467.695 50496.633 9.727
2386.261080 48734.734 48760.980 9.666
2386.281512 48334.887 48356.281 9.652
2386.301944 52069.404 52087.406 9.783
2386.322377 69142.722 69156.898 10.350
2386.342809 92232.955 92244.555 11.060
2386.383673 111911.426 111855.672 11.632
2386.404105 105175.897 105121.094 11.441
2386.424537 98430.214 98375.711 11.246
2386.444969 92666.648 92609.938 11.078
2386.465401 87837.342 87777.273 10.932
2386.485834 83730.085 83667.523 10.808
2386.506266 79946.156 79879.797 10.690
2386.526698 76438.405 76370.477 10.584
2386.547130 73209.503 73138.227 10.480
2386.567562 70307.652 70234.070 10.388
2386.587994 67629.026 67551.445 10.304
2386.608427 65320.530 65238.965 10.229
2386.628859 63212.231 63127.598 10.160
2386.649291 61530.941 61444.121 10.101
2386.669723 60035.536 59945.609 10.051
2386.690155 58927.304 58836.242 10.016
2386.710587 58088.819 57997.023 9.986
2386.731019 57189.116 57095.965 9.959
2386.751452 56215.806 56121.566 9.924
2386.771884 55104.213 55008.066 9.888
2386.792316 54298.093 54200.488 9.860
2386.812748 54546.354 54447.863 9.867
2386.833180 55002.668 54902.238 9.883
2386.853612 54149.390 54046.250 9.856
2386.874044 52228.085 52123.945 9.790
2386.894477 50161.191 50054.992 9.716
2386.914909 48467.596 48359.148 9.659
2386.935341 48278.453 48168.238 9.653
2386.955773 52855.038 52742.867 9.809
2386.976205 71703.424 71588.961 10.431
2386.996637 94065.925 93951.055 11.119
2387.017070 111297.878 111181.547 11.614
2387.037502 110476.798 110357.781 11.591
2387.057934 103516.686 103395.055 11.397
2387.078366 97015.004 96891.086 11.201
2387.098798 91447.262 91320.391 11.042
2387.119230 86760.666 86631.562 10.897
2387.139662 82684.937 82553.164 10.778
2387.160094 78938.017 78804.633 10.658
