#BJD-2454833	K2SC-EAP   EAP    Err
2144.103507 2096.713 2096.292 8.637
2144.123939 2062.284 2061.813 8.636
2144.144372 2072.583 2072.091 8.636
2144.164804 2010.011 2009.477 8.634
2144.185237 1994.576 1994.119 8.633
2144.205669 1971.790 1971.447 8.633
2144.226102 1964.917 1964.728 8.634
2144.246534 2069.586 2069.684 8.636
2144.266967 2333.276 2333.585 8.646
2144.287399 2571.835 2572.329 8.656
2144.307832 2758.421 2759.057 8.664
2144.328264 2902.570 2903.265 8.668
2144.348697 2893.225 2893.927 8.668
2144.369129 2813.063 2813.594 8.667
2144.389562 2750.182 2750.511 8.664
2144.409994 2659.609 2659.537 8.660
2144.430427 2582.882 2582.277 8.656
2144.450859 2506.818 2505.432 8.653
2144.471292 2428.926 2426.599 8.651
2144.491724 2394.165 2390.932 8.648
2144.512157 2336.795 2332.451 8.646
2144.532589 2288.688 2283.107 8.645
2144.553021 2216.877 2210.178 8.641
2144.573454 2185.258 2177.619 8.639
2144.593886 2159.371 2150.948 8.638
2144.614319 2154.623 2145.425 8.636
2144.634751 2096.141 2086.107 8.635
2144.655184 2062.227 2051.543 8.635
2144.675616 2096.263 2085.094 8.636
2144.696049 2065.831 2054.374 8.634
2144.716481 2066.213 2054.487 8.634
2144.736914 2077.001 2065.133 8.638
2144.757346 2073.297 2061.571 8.635
2144.777779 2024.105 2023.119 8.638
2144.798211 1997.575 1997.187 8.636
2144.818644 1964.507 1963.729 8.635
2144.839076 1973.971 1972.933 8.634
2144.859509 2011.400 2010.169 8.637
2144.879941 2207.480 2206.165 8.643
2144.900374 2485.195 2483.932 8.654
2144.920806 2664.952 2663.766 8.662
2144.941238 2830.893 2829.823 8.668
2144.961671 2882.845 2881.947 8.669
2144.982103 2828.834 2828.159 8.668
2145.002536 2764.928 2764.469 8.664
2145.022968 2659.539 2659.154 8.661
2145.043401 2570.848 2570.464 8.657
2145.063833 2503.671 2503.062 8.654
2145.084266 2426.894 2426.149 8.652
2145.104698 2388.631 2387.678 8.649
2145.125130 2341.077 2339.823 8.648
2145.145563 2278.670 2276.981 8.645
2145.165995 2236.321 2233.932 8.642
2145.186428 2184.232 2181.100 8.641
2145.206860 2146.138 2142.144 8.638
2145.227293 2143.954 2139.167 8.638
2145.247725 2117.467 2111.691 8.637
2145.268158 2073.376 2066.635 8.635
2145.288590 2090.651 2082.828 8.636
2145.309023 2062.470 2053.508 8.634
2145.329455 2086.141 2076.483 8.636
2145.349887 2062.439 2052.079 8.635
2145.370320 2079.595 2068.682 8.635
2145.390752 2052.956 2041.661 8.634
2145.411185 2023.229 2011.412 8.634
2145.431617 1981.530 1969.361 8.632
2145.452050 1973.647 1961.259 8.630
2145.472482 2018.779 2006.514 8.632
2145.492915 2134.570 2122.545 8.634
2145.513347 2373.791 2373.816 8.651
2145.533780 2593.472 2595.067 8.660
2145.554212 2782.255 2782.812 8.666
2145.574644 2868.412 2868.194 8.669
2145.595077 2826.496 2825.434 8.669
2145.615509 2766.511 2764.956 8.665
2145.635942 2685.994 2684.305 8.663
2145.656374 2596.785 2595.343 8.659
2145.676807 2502.866 2501.720 8.655
2145.697239 2468.445 2467.585 8.653
2145.717672 2482.631 2481.909 8.652
2145.738104 2339.484 2338.707 8.650
2145.758536 2300.281 2299.247 8.646
2145.778969 2275.123 2273.673 8.644
2145.799401 2221.864 2219.974 8.641
2145.819834 2183.813 2181.228 8.638
2145.840266 2117.537 2114.166 8.638
2145.860699 2106.386 2102.168 8.637
2145.881131 2082.794 2077.657 8.636
2145.901563 2089.085 2082.882 8.635
2145.921996 2074.638 2067.385 8.636
2145.942428 2057.846 2049.623 8.634
2145.962861 2091.049 2082.010 8.636
2145.983293 2079.519 2069.706 8.634
2146.024158 2057.476 2055.755 8.638
2146.044590 1981.318 1979.565 8.636
2146.065023 1971.394 1969.600 8.634
2146.085455 1951.867 1950.136 8.635
2146.105888 2058.077 2056.485 8.637
2146.126320 2291.641 2290.266 8.647
2146.146753 2525.156 2524.007 8.656
2146.167185 2678.969 2678.070 8.663
2146.187617 2825.558 2824.751 8.668
2146.208050 2847.678 2846.873 8.669
2146.228482 2783.947 2783.083 8.667
2146.248915 2703.481 2702.400 8.663
2146.269347 2608.252 2606.882 8.659
2146.289780 2532.108 2530.420 8.655
2146.310212 2478.143 2476.118 8.654
2146.330644 2391.153 2388.743 8.650
2146.351077 2367.351 2364.303 8.648
2146.371509 2307.723 2304.174 8.645
2146.391942 2298.588 2294.349 8.645
2146.412374 2226.797 2221.615 8.642
2146.432807 2193.191 2186.979 8.640
2146.453239 2147.140 2140.156 8.639
2146.473671 2125.591 2117.767 8.637
2146.494104 2107.094 2105.907 8.638
2146.514536 2054.773 2053.284 8.639
2146.534969 2067.836 2066.497 8.639
2146.555401 2081.484 2080.399 8.639
2146.575833 2074.894 2073.945 8.637
2146.596266 2093.640 2092.696 8.638
2146.616698 2054.881 2053.876 8.639
2146.637131 2027.826 2026.686 8.636
2146.657563 2005.193 2003.912 8.635
2146.677995 1976.245 1974.815 8.633
2146.698428 1963.010 1961.389 8.632
2146.718860 2002.000 2000.190 8.634
2146.739293 2166.888 2164.871 8.640
2146.759725 2440.458 2438.124 8.652
2146.780158 2601.046 2598.340 8.659
2146.800590 2788.701 2785.772 8.665
2146.821022 2845.501 2842.218 8.667
2146.841455 2781.694 2778.167 8.665
2146.861887 2720.189 2716.191 8.663
2146.882320 2646.716 2642.227 8.658
2146.902752 2550.789 2545.937 8.654
2146.923184 2514.034 2508.655 8.653
2146.943617 2421.247 2415.300 8.650
2146.964049 2397.619 2390.894 8.649
2146.984481 2334.671 2327.428 8.646
2147.004914 2299.382 2291.882 8.644
2147.025346 2308.344 2300.557 8.644
2147.045779 2189.663 2181.430 8.640
2147.066211 2183.497 2174.940 8.640
2147.086644 2154.167 2145.365 8.639
2147.107076 2134.396 2125.319 8.635
2147.127508 2092.941 2083.528 8.635
2147.147941 2096.706 2086.939 8.634
2147.168373 2083.082 2073.079 8.634
2147.188806 2101.886 2091.635 8.633
2147.209238 2100.328 2089.837 8.633
2147.229670 2101.465 2090.777 8.634
2147.250103 2049.806 2038.690 8.634
2147.270535 2027.392 2015.695 8.633
2147.290968 1974.467 1962.340 8.630
2147.311400 1963.726 1951.189 8.630
2147.331832 1955.234 1942.429 8.630
2147.352265 2101.100 2088.171 8.635
2147.372697 2321.218 2308.367 8.644
2147.393129 2515.041 2502.358 8.652
2147.413562 2680.418 2667.866 8.659
2147.433994 2804.330 2791.931 8.664
2147.454427 2820.558 2808.396 8.661
2147.474859 2743.557 2741.607 8.665
2147.495291 2675.443 2673.658 8.661
2147.515724 2589.567 2587.617 8.660
2147.536156 2537.285 2535.225 8.656
2147.556589 2486.718 2484.616 8.654
2147.577021 2373.163 2371.061 8.650
2147.597453 2338.811 2336.733 8.648
2147.617886 2296.028 2294.023 8.647
2147.638318 2250.375 2248.439 8.645
2147.658751 2223.696 2221.943 8.643
2147.679183 2168.920 2167.441 8.642
2147.699615 2150.173 2148.835 8.641
2147.720048 2132.831 2131.542 8.639
2147.740480 2124.915 2123.622 8.639
2147.760913 2073.969 2072.633 8.637
2147.781345 2093.967 2092.605 8.637
2147.801777 2077.330 2075.940 8.637
2147.822210 2076.350 2074.964 8.637
2147.842642 2086.629 2085.168 8.637
2147.863074 2062.184 2060.675 8.636
2147.883507 2030.228 2028.617 8.636
2147.903939 2024.464 2022.680 8.634
2147.924371 1995.287 1993.316 8.633
2147.944804 1975.815 1973.721 8.631
2147.985669 2231.956 2230.198 8.643
2148.006101 2447.586 2445.860 8.653
2148.026533 2592.888 2591.311 8.660
2148.046966 2772.068 2770.637 8.664
2148.067398 2812.752 2811.401 8.666
2148.087830 2758.231 2756.843 8.666
2148.108263 2673.444 2671.974 8.662
2148.128695 2606.967 2605.303 8.659
2148.149127 2533.563 2531.603 8.656
2148.169560 2488.394 2486.251 8.654
2148.189992 2451.319 2448.867 8.650
2148.210425 2377.355 2374.541 8.649
2148.230857 2338.111 2334.788 8.646
2148.251289 2296.836 2292.956 8.644
2148.271722 2250.287 2245.770 8.643
2148.292154 2219.860 2214.732 8.640
2148.312586 2168.845 2163.016 8.638
2148.333019 2131.278 2124.551 8.636
2148.353451 2098.210 2090.696 8.636
2148.373884 2114.486 2106.285 8.636
2148.394316 2101.777 2092.984 8.634
2148.414748 2106.646 2097.216 8.636
2148.435181 2103.325 2093.180 8.634
2148.455613 2099.338 2100.207 8.640
2148.476045 2087.169 2090.134 8.639
2148.496478 2077.131 2079.352 8.638
2148.516910 2011.587 2012.967 8.637
2148.537342 1986.885 1987.500 8.638
2148.557775 1977.543 1977.453 8.635
2148.578207 2008.059 2007.161 8.637
2148.598640 2135.109 2133.512 8.641
2148.619072 2376.583 2374.634 8.650
2148.639504 2542.554 2540.393 8.657
2148.659937 2724.447 2722.188 8.664
2148.680369 2777.685 2775.481 8.666
2148.700801 2777.147 2775.058 8.664
2148.721234 2698.631 2696.686 8.663
2148.741666 2645.855 2644.055 8.660
2148.762098 2569.735 2568.201 8.658
2148.782531 2490.354 2488.900 8.654
2148.802963 2428.764 2427.261 8.652
2148.823395 2435.131 2433.516 8.651
2148.843828 2392.858 2391.059 8.649
2148.864260 2306.447 2304.383 8.646
2148.884692 2290.356 2287.840 8.643
2148.905125 2225.551 2222.511 8.642
2148.925557 2217.296 2213.542 8.641
2148.945990 2147.305 2142.836 8.638
2148.966422 2112.955 2107.728 8.637
2148.986854 2110.790 2105.007 8.637
2149.007287 2108.934 2102.260 8.636
2149.027719 2124.991 2117.689 8.637
2149.048151 2104.896 2097.256 8.636
2149.068584 2096.255 2088.236 8.636
2149.089016 2103.629 2095.388 8.635
2149.109448 2073.181 2064.513 8.635
2149.129881 2023.723 2014.508 8.633
2149.150313 2015.478 2005.448 8.631
2149.170745 1990.192 1979.569 8.630
2149.191178 1952.070 1941.027 8.630
2149.211610 2059.541 2048.112 8.634
2149.232042 2275.787 2264.162 8.642
2149.252475 2504.921 2493.071 8.652
2149.272907 2668.110 2656.058 8.657
2149.293339 2743.913 2731.590 8.660
2149.313772 2758.040 2745.409 8.662
2149.334204 2668.894 2656.083 8.659
2149.354636 2622.789 2609.817 8.657
2149.375069 2571.582 2558.554 8.655
2149.395501 2526.378 2513.256 8.653
2149.415933 2457.957 2444.782 8.647
2149.436366 2392.311 2397.464 8.654
2149.456798 2348.880 2353.169 8.652
2149.477230 2307.197 2311.740 8.651
2149.497663 2288.494 2293.140 8.650
2149.518095 2233.832 2238.582 8.648
2149.538527 2189.411 2194.293 8.646
2149.558960 2153.729 2158.674 8.645
2149.579392 2132.156 2137.182 8.643
2149.599824 2104.052 2109.159 8.642
2149.620257 2093.320 2098.469 8.642
2149.640689 2082.960 2088.089 8.642
2149.661121 2098.136 2103.162 8.642
2149.681553 2114.332 2119.106 8.642
2149.722418 2078.421 2082.072 8.641
2149.742850 2028.295 2031.571 8.639
2149.763283 1969.131 1971.812 8.636
2149.783715 1990.478 1992.545 8.636
2149.804147 1973.484 1974.783 8.636
2149.824580 2027.136 2027.999 8.638
2149.845012 2180.083 2180.596 8.645
2149.865444 2385.520 2385.675 8.652
2149.885877 2551.130 2550.831 8.658
2149.906309 2704.319 2703.529 8.664
2149.947174 2728.983 2727.433 8.664
2149.967606 2651.881 2650.337 8.661
2149.988038 2599.162 2597.529 8.659
2150.008471 2534.598 2532.912 8.656
2150.028903 2490.519 2488.713 8.655
2150.049335 2463.402 2461.382 8.652
2150.069768 2360.685 2358.444 8.650
2150.090200 2352.223 2349.752 8.647
2150.110632 2317.354 2314.624 8.645
2150.131065 2229.153 2226.183 8.644
2150.151497 2218.671 2215.402 8.643
2150.171929 2201.579 2198.074 8.641
2150.192362 2140.186 2136.413 8.640
2150.212794 2127.160 2123.168 8.638
2150.233226 2110.671 2106.375 8.637
2150.253658 2115.458 2110.754 8.638
2150.274091 2092.324 2087.287 8.637
2150.294523 2120.171 2114.729 8.637
2150.314955 2110.892 2105.135 8.637
2150.335388 2076.023 2069.914 8.635
2150.355820 2087.519 2081.198 8.635
2150.376252 2023.798 2017.076 8.634
2150.396685 2004.630 1997.297 8.632
2150.417117 1972.615 1964.969 8.631
2150.437549 1996.710 1988.669 8.632
2150.457981 2147.611 2138.932 8.636
2150.478414 2343.595 2334.527 8.646
2150.498846 2524.753 2516.429 8.653
2150.519278 2646.182 2638.357 8.658
2150.539711 2738.862 2730.852 8.661
2150.560143 2720.967 2712.491 8.661
2150.580575 2680.903 2671.812 8.659
2150.601008 2638.496 2628.527 8.658
2150.621440 2561.963 2551.526 8.655
2150.641872 2501.654 2490.893 8.653
2150.662305 2450.267 2452.395 8.655
2150.682737 2439.822 2444.354 8.655
2150.703169 2350.339 2354.445 8.651
2150.723601 2309.296 2313.023 8.650
2150.744034 2270.549 2273.811 8.648
2150.764466 2243.820 2246.613 8.647
2150.784898 2197.298 2199.436 8.646
2150.805331 2181.666 2183.211 8.644
2150.825763 2149.695 2150.714 8.643
2150.846195 2124.311 2124.955 8.642
2150.866627 2119.419 2119.654 8.641
2150.887060 2131.943 2131.911 8.643
2150.907492 2095.603 2095.316 8.643
2150.927924 2109.900 2109.290 8.643
2150.948357 2073.310 2072.574 8.641
2150.968789 2061.039 2060.210 8.640
2150.989221 2034.563 2033.374 8.639
2151.009653 2006.291 2004.719 8.638
2151.030086 1957.556 1955.844 8.637
2151.050518 1983.814 1981.903 8.637
2151.070950 2056.393 2054.374 8.640
2151.091383 2281.086 2278.993 8.648
2151.111815 2425.179 2422.971 8.654
2151.132247 2550.662 2548.366 8.659
2151.152680 2695.578 2693.193 8.663
2151.173112 2697.186 2694.781 8.665
2151.193544 2663.927 2661.568 8.664
2151.213976 2622.802 2620.471 8.662
2151.234409 2561.393 2559.116 8.658
2151.254841 2506.052 2503.800 8.657
2151.275273 2435.626 2433.389 8.654
2151.295705 2419.938 2417.780 8.653
2151.316138 2391.059 2388.946 8.651
2151.336570 2341.454 2339.367 8.650
2151.357002 2278.138 2276.090 8.648
2151.377435 2238.728 2236.717 8.647
2151.397867 2238.520 2236.639 8.645
2151.418299 2204.314 2202.496 8.644
2151.438731 2156.705 2154.969 8.643
2151.479596 2122.363 2120.638 8.642
2151.500028 2124.822 2123.080 8.641
2151.520461 2112.717 2111.047 8.639
2151.540893 2103.632 2101.926 8.641
2151.561325 2125.235 2123.559 8.640
2151.581757 2065.570 2063.900 8.638
2151.602190 2047.763 2046.020 8.639
2151.622622 1997.447 1995.666 8.637
2151.643054 1983.666 1981.852 8.635
2151.663486 1957.802 1955.924 8.634
2151.683919 1978.144 1976.197 8.635
2151.704351 2119.979 2117.985 8.642
2151.724783 2334.496 2332.354 8.649
2151.745216 2478.696 2476.336 8.656
2151.765648 2638.259 2636.592 8.681
2151.786080 2690.909 2688.575 8.667
2151.806512 2695.335 2692.856 8.663
2151.826945 2648.946 2646.322 8.661
2151.847377 2604.659 2601.848 8.661
2151.867809 2545.567 2542.579 8.658
2151.908674 2441.503 2439.876 8.656
2151.929106 2406.233 2404.422 8.654
2151.949538 2369.971 2368.090 8.653
2151.969970 2315.647 2313.689 8.650
2151.990403 2292.322 2290.317 8.650
2152.010835 2216.954 2214.896 8.648
2152.031267 2224.026 2221.938 8.647
2152.051700 2171.676 2169.528 8.646
2152.072132 2191.920 2189.676 8.647
2152.092564 2123.813 2121.449 8.643
2152.112996 2159.048 2156.630 8.643
2152.133428 2130.848 2128.409 8.644
2152.153861 2115.702 2113.266 8.643
2152.174293 2105.964 2103.551 8.642
2152.194725 2069.024 2066.709 8.642
2152.215158 2042.403 2040.124 8.642
2152.235590 1996.259 1993.980 8.638
2152.256022 1978.915 1976.672 8.638
2152.276454 1962.209 1959.989 8.636
2152.296887 1999.671 1997.520 8.637
2152.317319 2092.385 2090.287 8.642
2152.337751 2315.965 2313.936 8.649
2152.358183 2445.077 2443.159 8.655
2152.378616 2574.253 2572.384 8.662
2152.399048 2643.835 2642.014 8.664
2152.419480 2672.122 2670.354 8.667
