#BJD-2454833	K2SC-EAP   EAP    Err
2384.463312 6820.463 6837.854 5.729
2384.483744 6773.159 6790.792 5.726
2384.504177 6666.761 6684.624 5.719
2384.524609 6461.719 6479.800 5.709
2384.545041 6274.134 6292.375 5.696
2384.565474 6064.837 6083.244 5.684
2384.585906 5942.033 5960.616 5.677
2384.606338 5920.555 5939.265 5.676
2384.626770 6366.409 6385.243 5.702
2384.647203 7778.961 7797.979 5.785
2384.667635 9838.453 9857.603 5.905
2384.688067 11373.724 11392.971 5.993
2384.708499 12390.893 12410.265 6.049
2384.728932 12224.773 12244.310 6.039
2384.749364 11667.656 11687.397 6.008
2384.769796 11119.902 11139.789 5.976
2384.790229 10599.880 10619.954 5.949
2384.810661 10173.064 10193.319 5.924
2384.831093 9750.360 9770.796 5.900
2384.851525 9393.175 9413.724 5.878
2384.871958 9050.376 9071.003 5.860
2384.892390 8713.865 8730.295 5.840
2384.912822 8451.583 8467.921 5.824
2384.933255 8227.867 8244.266 5.812
2384.953687 8026.957 8043.459 5.799
2384.974119 7837.552 7854.092 5.789
2384.994551 7679.546 7696.106 5.780
2385.014984 7529.883 7546.527 5.770
2385.035416 7372.730 7389.451 5.762
2385.055848 7229.850 7246.713 5.751
2385.076281 7071.020 7088.015 5.743
2385.096713 6922.031 6939.170 5.734
2385.117145 6840.789 6858.111 5.730
2385.137577 6828.627 6846.110 5.731
2385.158010 6854.339 6871.909 5.731
2385.178442 6788.149 6805.738 5.727
2385.198874 6648.517 6666.108 5.719
2385.219306 6450.712 6468.283 5.707
2385.239739 6253.677 6271.334 5.695
2385.260171 6055.868 6073.635 5.683
2385.280603 5907.359 5925.230 5.675
2385.301036 5900.719 5918.669 5.675
2385.321468 6359.359 6377.391 5.700
2385.341900 7716.579 7734.702 5.782
2385.362332 9742.359 9760.609 5.901
2385.382765 11291.136 11309.500 5.989
2385.403197 12385.373 12403.822 6.046
2385.423629 12230.308 12248.848 6.039
2385.444061 11679.109 11697.751 6.010
2385.464494 11096.184 11114.880 5.977
2385.484926 10584.847 10603.619 5.950
2385.505358 10106.860 10125.726 5.920
2385.525790 9731.045 9750.026 5.898
2385.546223 9350.592 9369.655 5.877
2385.566655 9033.210 9052.413 5.856
2385.587087 8701.368 8720.676 5.840
2385.607520 8470.630 8490.024 5.826
2385.627952 8234.432 8253.886 5.812
2385.648384 8037.310 8056.884 5.801
2385.668816 7860.318 7880.020 5.790
2385.689249 7694.493 7714.271 5.781
2385.709681 7528.339 7548.228 5.772
2385.730113 7384.822 7404.771 5.761
2385.750545 7225.905 7245.922 5.753
2385.770978 7075.005 7095.037 5.744
2385.791410 6916.037 6936.111 5.736
2385.811842 6846.247 6866.351 5.731
2385.832274 6835.829 6855.945 5.731
2385.852707 6843.112 6863.275 5.731
2385.873139 6781.597 6801.811 5.728
2385.893571 6643.059 6663.362 5.721
2385.914003 6477.130 6497.569 5.710
2385.934436 6269.331 6289.872 5.698
2385.954868 6075.672 6096.336 5.685
2385.975300 5923.654 5944.432 5.677
2385.995732 5928.587 5949.467 5.678
2386.016165 6311.442 6332.466 5.702
2386.036597 7688.827 7709.986 5.780
2386.057029 9769.878 9791.185 5.901
2386.077461 11305.155 11326.590 5.989
2386.097894 12347.307 12368.838 6.045
