#BJD-2454833	K2SC-EAP   EAP    Err
2228.800259 7837.029 7828.387 5.738
2228.820691 8130.011 8121.466 5.753
2228.841124 8394.977 8386.602 5.771
2228.861556 8554.612 8546.466 5.780
2228.881988 8775.705 8767.913 5.791
2228.902421 8846.754 8839.412 5.796
2228.922853 8702.677 8695.898 5.788
2228.943285 8360.818 8354.642 5.767
2228.963718 7935.450 7929.935 5.743
2228.984150 7556.526 7551.677 5.721
2229.004582 7259.170 7254.975 5.702
2229.025015 7016.561 7013.238 5.688
2229.045447 6856.136 6853.903 5.680
2229.065879 6771.685 6770.617 5.673
2229.086311 6795.814 6796.217 5.678
2229.147609 8372.928 8376.995 5.768
2229.168041 8781.286 8786.572 5.794
2229.188473 9076.189 9082.756 5.807
2229.208905 9017.158 9024.785 5.805
2229.229338 8912.365 8920.927 5.797
2229.249770 8791.819 8801.405 5.790
2229.270202 8644.554 8655.143 5.781
2229.290635 8445.735 8457.482 5.768
2229.311067 8121.613 8134.261 5.750
2229.331499 7796.354 7809.712 5.728
2229.351932 7383.206 7397.028 5.703
2229.372364 7084.441 7098.560 5.685
2229.392796 6914.812 6929.053 5.675
2229.413229 6786.886 6801.083 5.668
2229.433661 6663.008 6677.032 5.661
2229.454093 6603.922 6617.713 5.658
2229.474525 6767.891 6770.694 5.672
2229.494958 7287.950 7288.592 5.703
2229.515390 8233.021 8235.061 5.758
2229.535822 9066.973 9070.266 5.809
2229.576687 9955.336 9961.171 5.858
2229.597119 9815.717 9822.638 5.846
2229.617552 9435.635 9443.614 5.826
2229.637984 9030.537 9039.569 5.804
2229.658416 8611.301 8621.425 5.780
2229.678848 8186.638 8197.740 5.755
2229.699281 7802.497 7814.495 5.730
2229.719713 7355.193 7350.404 5.709
2229.740145 7038.428 7032.714 5.690
2229.760578 6786.638 6781.622 5.676
2229.781010 6618.216 6613.852 5.665
2229.801442 6569.053 6565.416 5.660
2229.821874 6572.442 6569.602 5.659
2229.842307 6672.833 6670.802 5.667
2229.862739 7031.656 7030.718 5.689
2229.883171 7729.594 7729.621 5.730
2229.903604 8277.792 8278.812 5.763
2229.924036 8756.495 8758.808 5.788
2229.944468 9071.290 9074.886 5.806
2229.985333 9429.572 9435.405 5.827
2230.005765 9244.143 9250.967 5.815
2230.026197 8860.205 8867.880 5.794
2230.046630 8447.424 8456.234 5.770
2230.067062 7977.657 7987.373 5.743
2230.087494 7559.310 7569.851 5.718
2230.107927 7224.946 7236.287 5.697
2230.128359 6962.021 6974.005 5.679
2230.148791 6749.134 6761.812 5.668
2230.169223 6651.913 6665.117 5.663
2230.189656 6661.917 6675.568 5.663
2230.210088 6860.451 6854.365 5.680
2230.230520 7315.183 7307.423 5.706
2230.250953 7870.639 7863.890 5.739
2230.271385 8277.875 8271.738 5.762
2230.291817 8589.699 8584.404 5.780
2230.312249 8708.871 8704.323 5.787
2230.332682 8685.233 8681.363 5.786
2230.353114 8633.006 8629.977 5.781
2230.373546 8526.651 8524.599 5.774
2230.393978 8315.645 8314.738 5.764
2230.414411 7997.496 7998.280 5.746
2230.434843 7638.510 7640.479 5.724
2230.455275 7340.823 7344.292 5.707
2230.475708 7150.829 7155.551 5.694
2230.496140 7003.735 7009.669 5.685
2230.516572 6907.319 6914.191 5.679
2230.537004 6863.419 6871.430 5.677
2230.557437 7057.056 7066.092 5.688
2230.577869 7468.896 7479.021 5.711
2230.598301 8065.506 8076.854 5.748
2230.618733 8616.079 8628.417 5.779
2230.639166 8946.636 8959.586 5.797
2230.659598 9096.409 9109.842 5.806
2230.680030 9133.620 9147.494 5.807
2230.720895 8912.859 8904.512 5.804
2230.741327 8642.803 8634.580 5.786
2230.761759 8251.687 8243.732 5.762
2230.782192 7821.767 7814.193 5.736
2230.802624 7393.830 7386.695 5.711
2230.823056 7050.715 7044.494 5.690
2230.843488 6807.615 6802.019 5.676
2230.863921 6653.524 6648.604 5.668
2230.884353 6595.395 6591.176 5.662
2230.904785 6587.354 6583.992 5.661
2230.925217 6705.210 6702.749 5.669
2230.945650 7173.836 7172.740 5.696
2230.966082 8157.468 8157.507 5.754
2230.986514 9004.650 9005.724 5.804
2231.006947 9428.509 9430.441 5.829
2231.027379 9664.118 9667.203 5.840
2231.047811 9616.618 9621.056 5.837
2231.068243 9429.065 9434.683 5.826
2231.088676 9168.088 9174.909 5.812
2231.109108 8869.179 8877.083 5.793
2231.129540 8441.734 8450.745 5.768
2231.149972 7990.001 7999.998 5.743
2231.170404 7544.994 7555.830 5.717
2231.190837 7187.445 7198.992 5.695
2231.211269 6908.541 6920.580 5.680
2231.231701 6731.393 6743.808 5.668
2231.252134 6588.960 6601.861 5.658
2231.272566 6493.212 6506.590 5.651
2231.292998 6537.899 6551.695 5.653
2231.313430 6780.938 6795.056 5.669
2231.333863 7329.411 7343.697 5.704
2231.354295 8118.052 8132.438 5.748
2231.374727 8743.122 8757.538 5.785
2231.395159 9197.650 9212.033 5.810
2231.415591 9299.068 9313.387 5.817
2231.436024 9211.762 9219.829 5.816
2231.456456 9064.715 9071.279 5.805
2231.476888 8759.658 8767.251 5.789
2231.497321 8394.889 8403.484 5.766
2231.517753 8001.000 8010.632 5.744
2231.538185 7598.101 7608.779 5.720
2231.558617 7262.122 7273.474 5.700
2231.579049 7022.955 7034.993 5.685
2231.599482 6853.586 6866.122 5.676
2231.619914 6770.567 6783.562 5.670
2231.640346 6788.834 6802.152 5.671
2231.660779 6955.435 6969.065 5.681
2231.681211 7330.775 7331.606 5.707
2231.701643 7837.370 7836.629 5.737
2231.722075 8154.117 8154.583 5.754
2231.742507 8315.513 8317.425 5.764
2231.762940 8509.580 8512.863 5.773
2231.783372 8664.963 8669.240 5.783
2231.803804 8809.686 8814.829 5.790
2231.824236 8722.471 8728.200 5.786
2231.844669 8457.472 8463.802 5.770
2231.865101 8088.756 8095.732 5.748
2231.885533 7669.355 7676.951 5.724
2231.905965 7363.097 7371.222 5.707
2231.926397 7098.107 7107.006 5.693
2231.946830 6923.779 6933.421 5.682
2231.967262 6779.823 6790.288 5.673
2231.987694 6749.073 6760.351 5.668
2232.008126 6857.899 6869.835 5.677
2232.028559 7280.650 7293.017 5.699
2232.048991 7974.918 7987.736 5.742
2232.069423 8734.066 8747.290 5.788
2232.089855 9142.032 9155.579 5.809
2232.110288 9316.635 9330.461 5.819
2232.130720 9183.497 9197.598 5.811
2232.151152 8959.518 8973.809 5.799
2232.171584 8773.013 8776.008 5.789
2232.192017 8575.261 8576.604 5.779
2232.212449 8318.191 8320.588 5.764
2232.232881 7963.152 7966.625 5.743
2232.253313 7569.654 7574.203 5.720
2232.273745 7173.726 7179.528 5.698
2232.294178 6928.153 6934.995 5.684
2232.314610 6789.645 6797.388 5.673
2232.335042 6671.532 6680.249 5.665
2232.355474 6613.939 6623.655 5.661
2232.375907 6641.398 6651.980 5.663
2232.396339 6909.509 6920.984 5.680
2232.416771 7618.570 7630.841 5.718
2232.437203 8575.721 8588.564 5.775
