#BJD-2454833	K2SC-EAP   EAP    Err
2144.103284 12297.076 12328.389 6.832
2144.123717 11918.442 11949.081 6.810
2144.144149 11631.910 11662.124 6.794
2144.164581 11474.894 11503.725 6.788
2144.185014 11365.076 11393.469 6.784
2144.205446 11337.601 11365.074 6.778
2144.225878 11213.542 11239.692 6.775
2144.246311 10958.918 10983.582 6.762
2144.266743 10651.904 10674.627 6.749
2144.287176 10725.199 10746.118 6.750
2144.307608 10371.333 10390.806 6.735
2144.328040 10091.596 10109.213 6.721
2144.348473 10037.176 10053.260 6.717
2144.368905 10939.289 10952.932 6.762
2144.389337 13500.826 13512.262 6.886
2144.409770 15151.274 15160.104 6.966
2144.430202 17093.244 17099.570 7.057
2144.450634 17755.048 17758.455 7.088
2144.471067 17195.362 17195.686 7.060
2144.491499 16352.683 16350.315 7.022
2144.511932 15625.231 15619.526 6.987
2144.532364 15030.529 15021.192 6.959
2144.552796 14540.696 14528.320 6.937
2144.573229 14175.526 14160.368 6.918
2144.593661 13812.370 13794.851 6.899
2144.614093 13439.329 13418.845 6.882
2144.634526 13023.204 12999.711 6.862
2144.654958 12648.237 12621.407 6.842
2144.675390 12215.109 12185.464 6.823
2144.695823 11861.121 11829.342 6.804
2144.716255 11585.292 11551.005 6.793
2144.736687 11406.516 11368.960 6.785
2144.757120 11341.874 11302.178 6.781
2144.777552 11284.797 11307.208 6.780
2144.797985 11194.129 11219.572 6.774
2144.818417 10888.301 10912.590 6.760
2144.838849 10656.274 10679.459 6.749
2144.859282 10565.628 10587.438 6.746
2144.879714 10366.635 10386.601 6.732
2144.900146 10076.137 10094.485 6.719
2144.920579 10062.770 10079.691 6.719
2144.941011 11151.996 11167.406 6.774
2144.961443 13733.085 13747.476 6.898
2144.981876 15259.269 15271.848 6.973
2145.002308 17158.941 17169.607 7.060
2145.022740 17632.986 17641.621 7.085
2145.043173 17029.521 17036.838 7.054
2145.063605 16270.608 16274.949 7.018
2145.084037 15533.492 15536.764 6.984
2145.104470 14990.592 14992.366 6.957
2145.124902 14510.563 14510.551 6.935
2145.145334 14156.517 14154.500 6.917
2145.165767 13746.746 13742.269 6.900
2145.186199 13373.992 13367.214 6.882
2145.206631 12991.863 12982.215 6.861
2145.227064 12569.820 12558.111 6.840
2145.247496 12160.976 12146.959 6.822
2145.267928 11773.091 11756.862 6.805
2145.288361 11538.853 11519.781 6.791
2145.308793 11380.102 11357.733 6.783
2145.329225 11330.302 11305.491 6.781
2145.349658 11267.562 11240.670 6.779
2145.370090 11162.669 11134.017 6.773
2145.390522 10897.030 10866.192 6.758
2145.410955 10668.341 10635.082 6.747
2145.431387 10591.322 10555.442 6.745
2145.451819 10304.995 10266.496 6.732
2145.472252 10063.985 10023.145 6.718
2145.492684 10152.574 10109.386 6.722
2145.513116 11482.495 11502.730 6.789
2145.533549 14108.876 14132.652 6.920
2145.553981 15656.611 15679.079 6.994
2145.574413 17367.462 17388.631 7.072
2145.594846 17578.169 17597.643 7.081
2145.615278 16864.108 16881.525 7.050
2145.635710 16088.204 16103.367 7.011
2145.656143 15387.336 15399.889 6.977
2145.676575 14853.974 14864.174 6.953
2145.697008 14411.421 14419.483 6.932
2145.717440 14034.612 14040.786 6.915
2145.737872 13694.411 13697.974 6.897
2145.758304 13305.999 13306.867 6.880
2145.778737 12955.645 12954.247 6.861
2145.799169 12539.360 12535.657 6.841
2145.819601 12128.938 12122.592 6.820
2145.840034 11762.821 11753.869 6.804
2145.860466 11495.937 11484.255 6.792
2145.880899 11422.362 11408.034 6.786
2145.901331 11352.429 11335.788 6.783
2145.921763 11298.503 11279.127 6.782
2145.942195 11154.695 11133.067 6.774
2145.962628 10836.825 10812.988 6.758
2145.983060 10626.860 10600.360 6.747
2146.023925 10342.082 10357.397 6.735
2146.044357 10021.691 10036.188 6.719
2146.064789 10202.388 10215.977 6.728
2146.085222 11761.718 11774.297 6.805
2146.105654 14358.666 14370.183 6.931
2146.126086 16073.851 16084.091 7.010
2146.146519 17609.526 17618.484 7.083
2146.166951 17632.719 17640.449 7.085
2146.187383 16833.126 16839.432 7.047
2146.207815 16042.730 16047.568 7.008
2146.228248 15322.487 15325.809 6.975
2146.248680 14781.707 14782.565 6.949
2146.269112 14305.503 14304.333 6.927
2146.289545 13950.817 13947.996 6.910
2146.309977 13623.820 13619.265 6.895
2146.330409 13240.918 13235.053 6.875
2146.350842 12761.003 12753.022 6.858
2146.371274 12422.910 12413.436 6.836
2146.391706 12039.925 12028.728 6.817
2146.412139 11700.229 11686.327 6.801
2146.432571 11448.880 11432.554 6.789
2146.453003 11358.457 11340.444 6.784
2146.473436 11320.237 11300.169 6.783
2146.493868 11259.900 11259.951 6.779
2146.514300 11120.789 11130.732 6.772
2146.534733 10814.605 10823.164 6.757
2146.555165 10641.112 10648.496 6.749
