#BJD-2454833	K2SC-EAP   EAP    Err
2228.800133 319.297 323.732 5.821
2228.820566 308.465 313.115 5.821
2228.840998 304.694 309.530 5.820
2228.861430 316.065 321.019 5.821
2228.881863 290.552 295.535 5.821
2228.902295 287.222 292.126 5.818
2228.922727 271.047 275.732 5.819
2228.943160 275.042 279.452 5.818
2228.963592 256.945 260.918 5.817
2228.984024 253.153 256.588 5.817
2229.004456 270.546 273.515 5.818
2229.024889 245.250 247.716 5.818
2229.045321 252.895 254.792 5.820
2229.065753 252.483 253.558 5.817
2229.086185 253.907 254.319 5.818
2229.106618 235.546 235.447 5.817
2229.127050 215.130 214.607 5.819
2229.167915 214.153 212.963 5.817
2229.188347 234.006 232.579 5.817
2229.208779 268.979 267.386 5.820
2229.229212 301.200 299.493 5.822
2229.249644 336.054 334.238 5.824
2229.270076 375.941 374.017 5.826
2229.290508 397.029 394.952 5.826
2229.310941 367.710 365.329 5.826
2229.331373 356.345 353.589 5.823
2229.351805 328.646 325.288 5.824
2229.372238 330.475 326.284 5.823
2229.392670 317.852 312.530 5.823
2229.413102 308.046 301.564 5.823
2229.433534 299.173 291.638 5.822
2229.453967 288.469 280.293 5.822
2229.474399 285.324 285.383 5.819
2229.494831 273.950 274.426 5.819
2229.515264 275.084 275.083 5.820
2229.535696 267.745 267.349 5.823
2229.556128 255.244 254.314 5.819
2229.576560 237.802 236.585 5.819
2229.596993 245.045 243.586 5.820
2229.617425 244.301 242.693 5.820
2229.637857 248.658 246.939 5.820
2229.658289 250.245 248.371 5.818
2229.678722 240.877 238.855 5.820
2229.699154 237.603 235.383 5.820
2229.719586 218.247 222.407 5.817
2229.740019 212.449 216.815 5.817
2229.760451 196.430 200.451 5.814
2229.780883 212.386 216.075 5.814
2229.801315 230.517 233.609 5.816
2229.821748 273.571 276.227 5.821
2229.842180 295.051 297.234 5.821
2229.862612 366.671 368.216 5.825
2229.883044 374.839 375.887 5.826
2229.903477 365.772 366.175 5.826
2229.923909 360.594 360.513 5.824
2229.964774 352.034 351.153 5.824
2229.985206 339.421 338.277 5.823
2230.005638 318.520 317.165 5.822
2230.026070 292.233 290.714 5.823
2230.046503 277.589 275.928 5.822
2230.066935 299.604 297.826 5.822
2230.087367 275.383 273.492 5.821
2230.107799 271.788 269.761 5.820
2230.128232 268.042 265.809 5.820
2230.148664 257.849 255.415 5.819
2230.169096 252.485 249.795 5.820
2230.189528 241.400 238.225 5.818
2230.209961 247.950 252.308 5.817
2230.230393 247.147 251.242 5.818
2230.250825 246.600 250.959 5.823
2230.271257 247.721 252.003 5.818
2230.291690 234.826 238.890 5.817
2230.312122 216.371 220.012 5.815
2230.332554 204.236 207.384 5.817
2230.352986 221.376 224.064 5.816
2230.373419 205.726 207.832 5.816
2230.393851 226.018 227.363 5.817
2230.414283 249.219 249.757 5.818
2230.434716 279.845 279.858 5.821
2230.455148 329.862 329.441 5.824
2230.475580 351.727 350.815 5.826
2230.496012 392.405 391.244 5.827
2230.516444 350.137 348.764 5.827
2230.536877 361.069 359.525 5.827
2230.557309 336.343 334.640 5.825
2230.577741 320.900 319.060 5.825
2230.598173 309.342 307.288 5.823
2230.618606 299.901 297.546 5.824
2230.639038 304.811 302.216 5.823
2230.659470 285.781 282.895 5.823
2230.679902 286.879 283.418 5.823
2230.720767 273.963 277.203 5.818
2230.741199 262.508 265.938 5.817
2230.761631 246.752 250.486 5.817
2230.782064 250.089 254.071 5.819
2230.802496 230.790 234.987 5.818
2230.822928 250.625 254.770 5.818
2230.843360 250.080 254.094 5.819
2230.863793 232.695 236.478 5.817
2230.884225 231.788 235.177 5.817
2230.904657 272.552 275.420 5.821
2230.925089 217.601 219.850 5.819
2230.945522 220.970 222.491 5.820
2230.965954 213.710 214.910 5.817
2231.006818 222.664 222.813 5.819
2231.027251 252.061 251.858 5.819
2231.047683 300.904 300.261 5.824
2231.068115 372.778 371.764 5.827
2231.088547 382.906 381.635 5.828
2231.108979 391.748 390.345 5.829
2231.129412 375.991 374.367 5.827
2231.149844 353.312 351.575 5.825
2231.170276 329.376 327.493 5.827
2231.190708 321.204 319.141 5.824
2231.211141 315.129 312.841 5.823
2231.231573 312.972 310.580 5.824
2231.252005 293.010 290.456 5.822
2231.272437 302.847 300.043 5.824
2231.292869 277.637 274.285 5.821
2231.313302 273.877 269.790 5.821
2231.333734 259.435 254.750 5.820
2231.354166 266.893 261.379 5.821
2231.374598 264.910 258.524 5.819
2231.395031 257.228 250.295 5.820
2231.415463 246.489 238.880 5.818
2231.435895 236.155 234.728 5.821
2231.456327 234.911 233.686 5.820
2231.476760 240.547 239.178 5.818
2231.497192 226.876 225.290 5.820
2231.517624 227.764 226.054 5.818
2231.538056 220.780 218.929 5.819
2231.558488 210.424 208.410 5.818
2231.578921 206.054 203.795 5.817
2231.599353 209.891 207.459 5.820
2231.619785 247.682 245.079 5.820
2231.640217 275.959 273.194 5.823
2231.660650 342.870 339.763 5.824
2231.681082 373.219 374.257 5.827
2231.701514 387.634 389.125 5.827
2231.721946 370.343 371.265 5.825
2231.742379 366.741 367.003 5.827
2231.762811 336.854 336.727 5.825
2231.783243 308.638 308.085 5.823
2231.803675 318.123 317.278 5.825
2231.824107 329.589 328.575 5.825
2231.844540 293.468 292.336 5.822
2231.864972 291.417 290.118 5.822
2231.885404 282.569 281.204 5.822
2231.905836 265.959 264.479 5.822
2231.926268 264.066 262.475 5.822
2231.946701 262.451 260.756 5.821
2231.967133 246.579 244.740 5.820
2231.987565 248.188 246.163 5.820
2232.007997 246.628 244.342 5.821
2232.028429 256.404 253.992 5.825
2232.048862 239.158 236.601 5.821
2232.069294 245.384 242.693 5.822
2232.110158 236.504 233.025 5.820
2232.130591 231.364 227.136 5.819
2232.151023 227.236 222.178 5.818
2232.171455 223.492 223.250 5.818
2232.191887 216.846 217.219 5.819
2232.212319 213.406 213.411 5.816
2232.232752 237.942 237.715 5.819
2232.253184 289.659 288.972 5.826
2232.273616 338.786 337.774 5.825
2232.294048 376.704 375.445 5.830
2232.314480 387.409 386.003 5.827
2232.334913 369.602 368.005 5.829
2232.355345 353.528 351.805 5.827
2232.375777 325.843 323.959 5.827
2232.396209 327.154 324.987 5.825
2232.416641 307.012 304.582 5.825
2232.437074 307.486 304.931 5.827
2232.457506 290.380 287.592 5.823
2232.477938 302.427 299.234 5.823
2232.498370 278.718 274.807 5.822
2232.518802 272.522 267.927 5.821
2232.539234 266.162 260.498 5.822
2232.559667 260.596 254.090 5.820
2232.580099 246.983 239.714 5.822
2232.600531 256.531 248.340 5.822
2232.620963 275.600 266.635 5.825
2232.641395 250.697 241.264 5.821
2232.682260 239.555 242.399 5.819
2232.702692 238.677 241.077 5.818
2232.723124 232.278 234.178 5.820
2232.743556 215.057 216.531 5.817
2232.763989 216.390 217.568 5.819
2232.784421 207.603 208.372 5.817
2232.804853 217.881 218.147 5.817
2232.825285 231.345 231.328 5.822
2232.845717 265.753 265.541 5.824
2232.866150 302.305 301.735 5.825
2232.886582 365.055 364.228 5.828
2232.907014 381.157 380.158 5.832
2232.927446 378.171 376.991 5.826
2232.947878 350.193 348.876 5.826
2232.968311 352.960 351.549 5.825
2232.988743 330.534 328.962 5.828
2233.009175 325.626 323.958 5.824
2233.029607 310.176 308.428 5.823
2233.050039 301.691 299.861 5.822
2233.070471 295.543 293.611 5.824
2233.090904 280.943 278.780 5.823
2233.111336 285.747 283.449 5.823
2233.131768 288.307 285.855 5.825
2233.152200 253.564 255.987 5.821
2233.172632 260.102 263.310 5.824
2233.193064 250.259 253.017 5.821
2233.213497 232.871 235.276 5.820
2233.233929 226.777 228.757 5.823
2233.254361 239.608 241.314 5.820
2233.274793 232.349 233.738 5.822
2233.295225 231.759 232.619 5.820
2233.315658 235.886 236.052 5.820
2233.336090 229.072 228.912 5.821
2233.356522 233.999 233.332 5.821
2233.376954 200.105 199.141 5.819
2233.397386 201.542 200.343 5.822
2233.417818 207.540 206.204 5.821
2233.438251 250.484 248.949 5.821
2233.458683 288.843 287.148 5.824
2233.479115 332.302 330.470 5.826
2233.499547 378.397 376.386 5.829
2233.519979 404.985 402.686 5.831
2233.540411 379.186 376.682 5.830
2233.560844 373.221 370.543 5.827
2233.581276 333.304 330.074 5.828
2233.601708 318.365 314.188 5.826
2233.622140 310.648 305.605 5.826
2233.642572 295.134 294.486 5.824
2233.663004 295.001 294.883 5.824
2233.683437 278.235 277.525 5.824
2233.703869 286.154 285.152 5.824
2233.724301 263.493 262.247 5.824
2233.744733 263.859 262.494 5.822
2233.765165 261.027 259.489 5.823
2233.785597 250.342 248.671 5.824
2233.806030 239.058 237.307 5.822
2233.826462 251.597 249.736 5.825
2233.846894 232.313 230.282 5.822
2233.867326 246.641 244.343 5.823
2233.887758 256.773 254.340 5.822
2233.908190 233.209 230.708 5.822
2233.928623 227.146 224.360 5.821
2233.949055 227.714 224.450 5.820
2233.969487 221.369 217.290 5.819
2233.989919 194.033 189.375 5.820
2234.010351 202.499 196.750 5.819
2234.030783 219.571 213.212 5.819
2234.051216 259.968 252.556 5.823
2234.071648 311.370 303.073 5.825
2234.092080 355.257 346.380 5.827
2234.112512 418.024 408.851 5.831
2234.132944 382.836 381.586 5.833
2234.153376 363.975 363.095 5.832
2234.173808 346.881 345.837 5.828
2234.194241 325.075 323.865 5.827
2234.214673 335.396 334.070 5.826
2234.235105 308.347 306.829 5.825
2234.255537 305.913 304.245 5.826
2234.275969 277.772 275.978 5.825
2234.296401 289.246 287.282 5.824
2234.316833 270.683 268.405 5.825
2234.337266 267.528 265.040 5.822
2234.357698 255.542 252.908 5.823
2234.378130 240.273 240.183 5.821
2234.398562 245.472 247.583 5.822
2234.418994 253.070 254.753 5.824
2234.439426 233.469 234.758 5.826
2234.459859 227.846 228.708 5.821
2234.480291 246.773 247.119 5.821
2234.500723 247.310 247.303 5.824
2234.521155 247.504 246.870 5.821
2234.541587 233.181 232.264 5.821
2234.562019 207.802 206.759 5.820
2234.582451 207.762 206.551 5.822
2234.602884 205.665 204.281 5.820
2234.643748 229.942 231.620 5.821
2234.664180 290.158 291.668 5.827
2234.684612 326.845 327.962 5.828
2234.705044 372.771 373.298 5.831
2234.725476 405.818 406.030 5.829
2234.745909 382.519 382.362 5.832
2234.766341 363.999 363.367 5.829
2234.786773 344.159 343.324 5.827
2234.807205 313.258 312.271 5.827
2234.827637 309.785 308.672 5.826
2234.848069 315.366 314.138 5.824
2234.868501 281.088 279.750 5.827
2234.888933 276.879 275.490 5.828
2234.909366 282.753 281.271 5.824
2234.929798 269.509 267.923 5.826
2234.950230 255.262 253.595 5.826
2234.970662 260.774 259.037 5.821
2234.991094 251.435 249.620 5.825
2235.011526 239.380 237.447 5.823
2235.031958 246.390 244.264 5.822
2235.052391 233.480 231.301 5.822
2235.072823 240.864 238.614 5.822
2235.093255 220.713 218.316 5.823
2235.113687 234.418 237.362 5.819
2235.134119 221.591 225.119 5.822
2235.154551 211.928 215.368 5.819
2235.174983 222.237 225.540 5.820
2235.195416 208.499 211.823 5.817
2235.215848 206.383 209.680 5.818
2235.236280 215.682 218.818 5.818
2235.256712 259.356 262.020 5.822
2235.277144 319.882 322.053 5.826
2235.297576 348.099 350.026 5.827
2235.318008 400.504 402.133 5.832
2235.338440 438.766 440.166 5.834
2235.358872 380.359 381.380 5.828
2235.379305 360.087 360.648 5.829
2235.399737 325.705 326.020 5.828
2235.420169 321.584 321.830 5.825
2235.440601 320.766 320.755 5.828
2235.461033 298.498 298.180 5.825
2235.481465 293.841 293.137 5.824
2235.501897 280.281 279.375 5.825
2235.522329 279.161 278.084 5.825
2235.542762 259.671 258.481 5.826
2235.563194 255.215 253.921 5.825
2235.583626 257.987 256.537 5.824
2235.604058 237.155 235.607 5.823
2235.624490 250.663 248.985 5.825
2235.644922 237.647 235.896 5.823
2235.665354 232.690 230.848 5.823
2235.685786 236.468 234.491 5.822
2235.706218 234.559 232.350 5.821
2235.726651 232.094 229.728 5.822
2235.747083 245.027 242.474 5.822
2235.767515 222.106 219.518 5.821
2235.787947 213.060 210.320 5.821
2235.808379 206.281 203.434 5.822
2235.849243 213.572 216.905 5.821
2235.869675 267.467 270.894 5.822
2235.890107 312.211 315.644 5.826
2235.910540 393.362 396.723 5.831
2235.930972 398.105 401.402 5.831
2235.951404 388.962 392.252 5.830
2235.971836 374.564 377.841 5.831
2235.992268 361.297 364.386 5.828
2236.012700 323.018 325.733 5.827
2236.033132 312.242 314.677 5.827
2236.053564 303.320 305.346 5.827
2236.073997 293.266 295.071 5.824
2236.094429 286.814 288.369 5.825
2236.114861 278.312 279.762 5.823
2236.135293 285.657 287.032 5.826
2236.155725 271.282 272.385 5.824
2236.176157 245.577 246.230 5.825
2236.196589 249.533 250.077 5.826
2236.217021 250.815 251.217 5.824
2236.237453 239.478 239.811 5.821
2236.257885 220.238 220.533 5.822
2236.278317 226.853 227.176 5.820
2236.298750 232.335 232.582 5.821
2236.319182 253.088 253.207 5.822
2236.339614 223.881 223.847 5.822
2236.360046 241.940 241.741 5.821
2236.380478 210.956 210.431 5.821
2236.400910 215.412 214.737 5.820
2236.421342 192.437 191.680 5.821
2236.441774 212.242 211.346 5.820
2236.462206 231.546 230.488 5.822
2236.482638 278.059 276.898 5.825
2236.503071 356.243 355.005 5.829
2236.523503 409.377 408.046 5.833
2236.543935 413.006 411.574 5.833
2236.564367 388.263 386.771 5.830
2236.605231 349.051 346.959 5.828
2236.625663 324.007 321.888 5.826
2236.646095 317.733 315.570 5.827
2236.666527 302.523 300.341 5.824
2236.686959 293.545 291.338 5.825
2236.707391 282.464 280.198 5.825
2236.727824 287.686 285.350 5.824
2236.748256 268.626 266.217 5.825
2236.768688 263.053 260.580 5.823
2236.789120 263.897 261.348 5.824
2236.809552 246.572 244.017 5.822
2236.829984 239.677 242.413 5.820
2236.850416 233.120 236.511 5.821
2236.870848 229.945 233.361 5.820
2236.891280 225.273 228.621 5.821
2236.911712 240.072 243.406 5.820
2236.932145 230.225 233.555 5.819
2236.952576 230.914 234.227 5.823
2236.973009 215.337 218.633 5.819
2236.993441 232.869 236.177 5.819
2237.013873 208.786 212.101 5.817
2237.034305 195.047 198.376 5.817
2237.054737 218.554 221.841 5.819
2237.075169 262.333 265.568 5.821
2237.095601 328.676 331.880 5.826
2237.116033 388.222 391.339 5.830
2237.136465 452.236 455.248 5.833
2237.156897 396.339 399.081 5.829
2237.177329 384.967 387.676 5.829
2237.197761 355.827 358.497 5.832
2237.218194 336.090 338.733 5.827
2237.238626 331.039 333.679 5.826
2237.259058 307.761 310.287 5.825
2237.279490 298.021 300.434 5.826
2237.299922 300.720 302.866 5.826
2237.320354 282.748 284.762 5.823
2237.340786 271.047 272.937 5.827
2237.361218 264.290 266.076 5.824
2237.381650 266.419 268.005 5.823
2237.402082 240.512 241.965 5.822
2237.422514 252.574 253.769 5.822
2237.442946 233.596 234.668 5.824
2237.463378 223.242 223.988 5.821
2237.483811 242.003 242.631 5.822
2237.504243 224.596 225.157 5.821
2237.524675 243.573 244.006 5.822
2237.545107 226.339 226.722 5.823
2237.565539 221.280 221.523 5.822
2237.585971 215.419 215.445 5.819
2237.606403 210.164 210.053 5.821
2237.626835 199.974 199.570 5.819
2237.647267 207.849 207.307 5.819
2237.667699 251.512 250.885 5.825
2237.688131 279.939 279.197 5.825
2237.708563 346.859 345.998 5.836
2237.728995 417.147 416.141 5.833
2237.749428 427.577 426.478 5.831
2237.769859 405.075 403.873 5.832
2237.790292 372.748 371.435 5.831
2237.810724 341.563 340.124 5.827
2237.831156 340.677 339.135 5.828
2237.851588 321.240 319.624 5.825
2237.872020 301.986 300.299 5.827
2237.892452 298.536 296.783 5.827
2237.912884 307.007 305.157 5.828
2237.933316 279.934 278.008 5.824
2237.953748 276.798 274.704 5.826
2237.994612 242.973 240.691 5.823
2238.015044 264.829 262.460 5.823
2238.035476 252.091 249.652 5.823
2238.055908 238.185 235.792 5.823
2238.076340 242.973 240.443 5.822
2238.096772 232.094 229.364 5.821
2238.117205 238.778 235.813 5.822
2238.137637 239.086 235.772 5.824
2238.158069 243.291 239.582 5.821
2238.178501 218.271 214.356 5.823
2238.198933 203.850 199.718 5.822
