#BJD-2454833	K2SC-EAP   EAP    Err
2384.462972 12899.105 12962.652 9.082
2384.483404 12740.859 12804.724 9.077
2384.503836 12569.998 12634.154 9.072
2384.524268 12357.341 12421.760 9.065
2384.544700 12182.040 12246.739 9.057
2384.565133 11983.633 12048.560 9.049
2384.585565 11766.575 11831.717 9.041
2384.605997 11576.377 11641.718 9.035
2384.626429 11474.276 11539.796 9.031
2384.646861 11580.319 11646.041 9.034
2384.667293 11946.054 12011.967 9.048
2384.687726 12823.082 12889.148 9.082
2384.708158 14661.624 14727.858 9.148
2384.728590 15739.669 15806.123 9.186
2384.749022 16172.549 16239.299 9.201
2384.769454 16972.665 17039.625 9.232
2384.789886 17664.458 17731.654 9.256
2384.810319 17861.330 17928.791 9.266
2384.830751 17824.365 17892.100 9.263
2384.851183 17551.497 17619.408 9.254
2384.871615 17241.957 17309.996 9.242
2384.892047 16865.586 16927.494 9.230
2384.912479 16613.253 16675.061 9.219
2384.932912 16308.118 16370.022 9.210
2384.953344 16038.464 16100.506 9.200
2384.973776 15852.013 15914.098 9.190
2384.994208 15527.156 15589.286 9.181
2385.014640 15400.707 15462.940 9.173
2385.035072 15149.360 15211.688 9.165
2385.055505 14852.700 14915.191 9.156
2385.075937 14684.010 14746.681 9.147
2385.096369 14412.897 14475.763 9.139
2385.116801 14117.305 14180.377 9.130
2385.137233 13957.267 14020.562 9.121
2385.157665 13696.249 13759.670 9.115
2385.178098 13600.699 13664.148 9.109
2385.198530 13364.212 13427.646 9.103
2385.218962 13328.151 13391.598 9.099
2385.239394 13160.720 13224.314 9.094
2385.259826 13013.314 13077.067 9.087
2385.280258 12858.116 12922.014 9.083
2385.300691 12684.008 12748.022 9.078
2385.321123 12561.087 12625.223 9.072
2385.341555 12298.027 12362.290 9.064
2385.361987 12112.693 12177.126 9.055
2385.382419 11898.006 11962.586 9.049
2385.402851 11754.606 11819.290 9.042
2385.423283 11497.307 11562.116 9.034
2385.443716 11432.285 11497.221 9.032
2385.464148 11549.741 11614.781 9.036
2385.484580 11920.832 11985.992 9.051
2385.505012 12969.714 13035.038 9.087
2385.525444 14711.638 14777.113 9.153
2385.545876 15693.979 15759.595 9.188
2385.566309 16173.283 16239.085 9.203
2385.586741 16929.278 16995.240 9.232
2385.607173 17497.835 17563.918 9.258
2385.627605 17782.670 17848.877 9.266
2385.648037 17788.347 17854.711 9.265
2385.668469 17493.816 17560.350 9.254
2385.688902 17052.176 17118.869 9.244
2385.709334 16847.007 16913.820 9.231
2385.729766 16374.837 16441.750 9.224
2385.750198 16272.434 16339.457 9.210
2385.770630 15926.802 15993.885 9.201
2385.791062 15763.052 15830.185 9.192
2385.811495 15514.954 15582.139 9.182
2385.831927 15379.278 15446.497 9.177
2385.852359 14986.894 15054.176 9.165
2385.872791 14731.895 14799.232 9.157
2385.893223 14544.213 14611.691 9.146
2385.913655 14270.905 14338.575 9.138
2385.934087 14058.292 14126.132 9.130
2385.954519 13843.990 13912.014 9.120
2385.974952 13703.593 13771.772 9.115
2385.995384 13508.386 13576.723 9.109
2386.015816 13359.701 13428.239 9.104
2386.036248 13293.703 13362.421 9.099
2386.056680 13134.755 13203.655 9.093
2386.077112 13005.777 13074.874 9.089
2386.097545 12864.656 12933.920 9.082
2386.117977 12565.335 12623.147 9.076
2386.138409 12518.149 12575.127 9.069
2386.158841 12358.106 12415.241 9.061
2386.179273 12072.045 12129.344 9.054
2386.199705 11871.122 11928.603 9.046
2386.220137 11717.901 11775.593 9.039
2386.240570 11544.103 11602.008 9.032
2386.261002 11432.673 11490.705 9.030
2386.281434 11557.065 11615.312 9.035
2386.301866 11975.356 12033.843 9.052
2386.322298 13077.148 13135.862 9.093
2386.342730 14885.983 14944.839 9.159
2386.383595 16122.635 16185.165 9.207
2386.404027 16925.398 16987.889 9.237
2386.424459 17556.060 17618.553 9.259
2386.444891 17776.273 17838.865 9.266
2386.465323 17677.545 17740.297 9.262
2386.485755 17383.851 17446.738 9.253
2386.506187 17075.631 17138.664 9.241
2386.526619 16766.476 16829.639 9.231
2386.547052 16464.548 16527.850 9.220
2386.567484 16187.898 16251.310 9.210
2386.587916 16013.242 16076.812 9.201
2386.608348 15732.946 15796.702 9.192
2386.628780 15431.124 15494.984 9.184
2386.649212 15209.339 15273.319 9.174
2386.669644 14948.182 15012.309 9.166
2386.690077 14717.098 14781.315 9.156
2386.710509 14525.867 14590.118 9.147
2386.730941 14249.676 14314.007 9.137
2386.751373 13965.186 14029.570 9.130
2386.771805 13786.728 13851.189 9.123
2386.792237 13717.299 13781.821 9.117
2386.812669 13481.758 13546.325 9.111
2386.833102 13319.023 13383.694 9.105
2386.853534 13178.710 13243.485 9.100
2386.873966 13097.588 13162.443 9.095
2386.894398 12981.585 13046.542 9.089
2386.914830 12788.293 12853.366 9.084
2386.935262 12660.623 12725.800 9.079
2386.955694 12428.622 12493.886 9.072
2386.976126 12230.919 12296.289 9.066
2386.996559 12073.966 12139.360 9.057
2387.016991 11850.073 11915.534 9.050
2387.037423 11648.668 11714.273 9.042
2387.057855 11565.499 11631.250 9.037
2387.078287 11522.212 11588.079 9.035
2387.098719 11602.608 11668.575 9.040
2387.119151 12129.638 12195.720 9.058
2387.139583 13140.868 13207.081 9.099
2387.160016 15056.904 15123.183 9.168
2387.180448 15786.383 15852.725 9.194
2387.200880 16237.352 16303.707 9.212
2387.221312 17088.114 17154.441 9.243
2387.241744 17636.181 17702.594 9.263
2387.262176 17752.856 17819.428 9.268
2387.282608 17581.424 17648.143 9.263
2387.303040 17286.878 17353.713 9.253
2387.323472 17097.867 17164.836 9.242
2387.343905 16777.763 16844.859 9.232
2387.364337 16424.205 16491.416 9.222
2387.384769 16233.855 16301.180 9.211
2387.405201 15902.048 15969.492 9.202
2387.425633 15719.638 15787.230 9.194
2387.446065 15493.505 15561.217 9.184
2387.466497 15237.374 15305.235 9.177
2387.486929 15029.474 15097.492 9.168
2387.507361 14785.284 14853.458 9.158
2387.527794 14489.488 14557.822 9.149
2387.548226 14285.263 14353.743 9.140
2387.568658 14043.984 14112.667 9.133
2387.589090 13754.067 13814.378 9.125
2387.609522 13676.702 13736.399 9.116
2387.629954 13435.491 13495.425 9.111
2387.650386 13383.916 13444.083 9.106
2387.670818 13182.288 13242.689 9.100
2387.691251 13080.187 13140.679 9.095
2387.711683 12935.216 12995.811 9.089
2387.732115 12751.139 12811.861 9.084
2387.752547 12604.611 12665.487 9.078
2387.772979 12459.742 12520.827 9.073
2387.793411 12138.003 12199.294 9.065
2387.813843 12059.410 12120.924 9.057
2387.834275 11831.470 11893.154 9.049
2387.854707 11656.920 11718.788 9.043
2387.875140 11501.950 11564.029 9.037
2387.895572 11474.935 11537.167 9.034
