#BJD-2454833	K2SC-EAP   EAP    Err
2228.799932 241.503 242.838 5.264
2228.820365 255.312 256.842 5.265
2228.840797 248.475 250.242 5.265
2228.861229 240.859 242.897 5.265
2228.881661 268.924 271.292 5.266
2228.902093 359.978 362.660 5.272
2228.922526 519.965 523.007 5.283
2228.942958 574.593 578.015 5.285
2228.983822 456.069 460.026 5.278
2229.004254 425.248 429.377 5.276
2229.024686 406.679 410.867 5.274
2229.045119 378.115 382.197 5.273
2229.065551 372.608 376.496 5.272
2229.085983 356.197 359.703 5.270
2229.106415 337.691 340.766 5.269
2229.126847 315.248 317.884 5.268
2229.147280 323.811 326.075 5.268
2229.167712 304.359 306.268 5.266
2229.188144 286.284 287.845 5.264
2229.208576 270.349 271.715 5.263
2229.229008 256.084 257.303 5.262
2229.249440 250.455 251.524 5.261
2229.269873 250.543 251.452 5.261
2229.290305 250.007 250.691 5.260
2229.310737 255.831 256.311 5.260
2229.331169 245.849 246.210 5.259
2229.351601 252.273 252.530 5.260
2229.372034 260.660 260.894 5.259
2229.392466 261.538 261.851 5.259
2229.412898 276.322 276.642 5.260
2229.433330 252.305 252.590 5.259
2229.453762 298.091 298.307 5.261
2229.474194 477.253 480.481 5.278
2229.494627 584.613 588.134 5.285
2229.515059 536.325 539.570 5.282
2229.535491 473.740 476.608 5.278
2229.555923 449.670 452.072 5.275
2229.576355 414.388 416.364 5.273
2229.596787 381.066 382.816 5.271
2229.617220 366.731 368.280 5.270
2229.637652 360.071 361.437 5.269
2229.658084 333.860 335.014 5.267
2229.678516 335.734 336.662 5.266
2229.698948 304.913 305.581 5.264
2229.719380 290.751 292.498 5.267
2229.739813 280.513 281.743 5.266
2229.760245 276.643 278.395 5.267
2229.780677 256.402 258.561 5.265
2229.801109 254.305 256.900 5.265
2229.821541 241.001 243.893 5.264
2229.841973 232.061 235.172 5.264
2229.862406 240.427 243.724 5.264
2229.882838 243.103 246.473 5.264
2229.903270 245.437 248.736 5.264
2229.923702 249.696 252.788 5.264
2229.944134 256.480 259.315 5.264
2229.964566 248.226 250.772 5.263
2229.984999 248.772 251.004 5.263
2230.005431 284.221 286.109 5.265
2230.025863 413.713 415.418 5.272
2230.046295 580.560 582.097 5.283
2230.066727 568.703 570.086 5.283
2230.087159 501.760 502.974 5.277
2230.107591 459.397 460.402 5.274
2230.128024 414.038 414.805 5.271
2230.148456 390.840 391.289 5.269
2230.168888 378.864 378.959 5.269
2230.189320 364.984 364.756 5.267
2230.209752 341.651 341.029 5.271
2230.230184 325.405 323.771 5.270
2230.250617 300.924 299.858 5.268
2230.271049 301.108 300.937 5.268
2230.291481 277.959 278.426 5.266
2230.311913 267.510 268.583 5.266
2230.332345 260.876 262.473 5.266
2230.352777 259.718 261.709 5.265
2230.373209 248.111 250.555 5.264
2230.393642 244.781 247.605 5.264
2230.414074 229.130 232.146 5.263
2230.434506 246.415 249.338 5.263
2230.454938 250.530 253.266 5.264
2230.475370 249.415 251.944 5.263
2230.495802 266.888 269.128 5.264
2230.516234 253.582 255.470 5.262
2230.536667 252.476 254.173 5.263
2230.557099 278.692 280.215 5.264
2230.577531 374.988 376.348 5.270
2230.597963 523.894 524.949 5.278
2230.618395 566.916 567.583 5.281
2230.638827 517.214 517.469 5.277
2230.659259 484.672 484.545 5.275
2230.679692 435.275 434.821 5.271
2230.720556 386.251 383.279 5.274
2230.740988 363.314 360.513 5.272
2230.761420 351.982 349.431 5.272
2230.781852 336.662 334.373 5.270
2230.802284 328.054 326.107 5.269
2230.822716 312.919 311.432 5.269
2230.843149 285.527 284.998 5.267
2230.863581 278.856 278.966 5.266
2230.884013 264.728 265.425 5.265
2230.904445 261.785 263.047 5.265
2230.924877 247.650 249.395 5.265
2230.945309 248.995 251.293 5.265
2230.965742 238.824 241.451 5.264
2230.986174 246.069 248.825 5.264
2231.006606 252.996 255.766 5.264
2231.027038 253.493 256.182 5.264
2231.047470 251.079 253.695 5.263
2231.067902 254.384 256.746 5.264
2231.088334 254.869 256.841 5.263
2231.108766 250.821 252.596 5.263
2231.129199 315.164 316.778 5.267
2231.149631 516.234 517.690 5.278
2231.170063 580.020 581.316 5.282
2231.190495 543.019 544.104 5.280
2231.210927 472.116 472.992 5.276
2231.231359 432.388 433.085 5.273
2231.251791 406.955 407.324 5.270
2231.272223 396.354 396.306 5.269
2231.292655 361.038 360.614 5.268
2231.313088 348.862 348.077 5.266
2231.333520 341.113 340.068 5.265
2231.353952 332.685 331.506 5.264
2231.374384 305.039 303.688 5.263
2231.394816 288.060 286.511 5.262
2231.415248 274.124 272.383 5.260
2231.435680 271.759 273.544 5.264
2231.456112 264.799 266.797 5.264
2231.476545 242.098 243.902 5.263
2231.496977 245.246 246.896 5.263
2231.517409 237.003 238.505 5.262
2231.537841 234.368 235.697 5.261
2231.558273 246.088 247.247 5.261
2231.578705 259.269 260.179 5.262
2231.599137 258.174 258.796 5.262
2231.619569 266.727 267.035 5.261
2231.640001 256.767 256.747 5.261
2231.660434 250.473 250.157 5.260
2231.680866 289.917 292.288 5.267
2231.701298 453.885 455.825 5.278
2231.721730 599.608 601.969 5.286
2231.742162 558.867 561.441 5.284
2231.762594 508.928 511.492 5.280
2231.783026 469.390 472.000 5.277
2231.803458 412.658 415.122 5.273
2231.823890 396.211 398.518 5.273
2231.844323 362.019 364.030 5.272
2231.864755 360.274 362.152 5.270
2231.885187 337.253 339.040 5.270
2231.905619 313.895 315.604 5.268
2231.926051 302.356 303.983 5.266
2231.946483 293.517 295.037 5.266
2231.966915 290.439 291.799 5.265
2231.987347 277.710 278.840 5.263
2232.007779 260.467 261.379 5.262
2232.028212 247.597 248.299 5.262
2232.048644 251.716 252.116 5.261
2232.069076 243.573 243.622 5.261
2232.089508 237.040 236.746 5.261
2232.109940 246.296 245.702 5.260
2232.130372 249.422 248.419 5.261
2232.150804 257.969 256.611 5.261
2232.171236 265.841 268.410 5.266
2232.191668 252.727 255.092 5.265
2232.212100 256.506 258.959 5.264
2232.232533 276.630 279.102 5.266
2232.252965 384.354 386.847 5.273
2232.273397 536.073 538.336 5.283
2232.293829 548.642 550.504 5.283
2232.314261 501.618 503.347 5.279
2232.334693 453.723 455.332 5.276
2232.355125 412.759 414.232 5.273
2232.375557 403.090 404.391 5.272
2232.395989 369.049 370.107 5.270
2232.416421 370.048 370.805 5.269
