#BJD-2454833	K2SC-EAP   EAP    Err
2384.463516 3144.956 3136.840 6.557
2384.483948 3120.372 3112.256 6.556
2384.504380 3156.042 3147.927 6.558
2384.524813 3034.910 3026.794 6.553
2384.545245 2931.409 2923.293 6.546
2384.565678 3744.607 3736.491 6.588
2384.586110 6995.676 6987.560 6.752
2384.606542 8101.990 8093.874 6.808
2384.626975 7220.554 7212.438 6.762
2384.647407 6348.605 6340.489 6.719
2384.667839 5630.113 5621.997 6.685
2384.688272 5073.117 5065.000 6.657
2384.708704 4655.305 4647.188 6.634
2384.729136 4346.150 4338.034 6.618
2384.749569 4085.702 4077.586 6.604
2384.770001 3854.728 3846.611 6.593
2384.790433 3631.873 3623.757 6.581
2384.810866 3445.166 3437.050 6.572
2384.831298 3282.069 3273.952 6.563
2384.851730 3170.415 3162.299 6.558
2384.872163 3117.820 3109.703 6.554
2384.892595 3124.473 3116.358 6.554
2384.913027 3161.118 3153.002 6.556
2384.933460 3150.894 3142.778 6.557
2384.953892 3145.821 3137.705 6.556
2384.974325 3144.991 3136.875 6.555
2384.994757 2951.219 2943.103 6.546
2385.015189 3145.322 3137.206 6.556
2385.035622 5323.501 5315.385 6.669
2385.056054 8133.232 8125.116 6.810
2385.076486 7679.792 7671.676 6.786
2385.096919 6720.558 6712.442 6.739
2385.117351 5964.009 5955.893 6.700
2385.137783 5343.784 5335.668 6.669
2385.158216 4862.127 4854.011 6.642
2385.178648 4491.721 4483.605 6.625
2385.199080 4213.677 4205.561 6.611
2385.219513 3976.333 3968.217 6.599
2385.239945 3739.211 3731.095 6.587
2385.260377 3533.236 3525.120 6.577
2385.280810 3351.869 3343.753 6.568
2385.301242 3243.235 3235.119 6.563
2385.321674 3162.388 3154.271 6.559
2385.342107 3124.418 3116.302 6.556
2385.362539 3150.737 3142.620 6.557
2385.382971 3157.998 3149.882 6.558
2385.403404 3132.843 3124.727 6.557
2385.423836 3150.228 3142.111 6.558
2385.444268 3019.534 3011.418 6.551
2385.464701 2954.699 2946.583 6.548
2385.485133 3965.742 3957.625 6.599
2385.505565 7270.607 7262.490 6.766
2385.525998 8060.666 8052.549 6.805
2385.546430 7149.562 7141.445 6.759
2385.566862 6289.174 6281.058 6.717
