#BJD-2454833	K2SC-EAP   EAP    Err
2144.102823 8928.733 8975.306 8.626
2144.123256 8449.971 8497.151 8.610
2144.143688 8111.992 8159.384 8.595
2144.164120 7769.375 7817.611 8.581
2144.184552 7462.567 7510.995 8.570
2144.204984 7162.416 7210.868 8.560
2144.225417 6898.250 6946.910 8.548
2144.245849 6680.034 6727.842 8.540
2144.266281 6455.430 6502.902 8.533
2144.286713 6305.249 6352.166 8.526
2144.307145 6161.998 6207.760 8.523
2144.327577 6068.607 6113.628 8.519
2144.348010 6029.591 6072.870 8.517
2144.368442 5953.433 5995.925 8.514
2144.388874 5889.516 5930.792 8.511
2144.409306 5856.817 5897.268 8.511
2144.429738 5962.088 6001.682 8.515
2144.450170 5884.558 5922.788 8.512
2144.470603 5696.141 5733.661 8.503
2144.491035 5418.431 5454.761 8.496
2144.511467 5291.549 5326.741 8.489
2144.531899 5496.894 5530.197 8.498
2144.552331 7083.216 7114.049 8.562
2144.572763 10035.783 10063.743 8.679
2144.593196 12444.968 12470.321 8.773
2144.613628 12481.550 12504.277 8.775
2144.634060 11680.155 11699.226 8.743
2144.654492 10828.946 10844.417 8.708
2144.674924 10142.179 10153.940 8.684
2144.695356 9539.314 9547.854 8.661
2144.715789 9042.292 9047.784 8.640
2144.736221 8609.580 8613.363 8.624
2144.756653 8245.386 8245.876 8.610
2144.777085 7900.369 7940.090 8.589
2144.797517 7572.437 7606.308 8.575
2144.817949 7337.509 7373.770 8.565
2144.838381 6981.942 7020.217 8.553
2144.858814 6738.464 6778.297 8.543
2144.879246 6514.691 6555.509 8.534
2144.899678 6325.494 6366.490 8.527
2144.920110 6180.838 6221.442 8.522
2144.940542 6096.924 6137.442 8.519
2144.960974 6043.315 6082.646 8.517
2144.981407 5995.218 6033.663 8.516
2145.001839 5908.933 5946.514 8.511
2145.022271 5902.799 5938.737 8.511
2145.042703 5979.226 6012.716 8.513
2145.063135 5934.449 5968.518 8.514
2145.083567 5785.268 5816.835 8.507
2145.104000 5505.254 5535.748 8.498
2145.124432 5289.388 5319.456 8.489
2145.165296 6178.615 6205.644 8.525
2145.185728 8868.843 8894.916 8.633
2145.206160 11618.041 11644.093 8.739
2145.226592 12667.781 12692.258 8.781
2145.247025 11960.326 11982.084 8.754
2145.267457 11112.617 11131.257 8.721
2145.287889 10348.384 10364.148 8.692
2145.308321 9758.927 9771.985 8.669
2145.328753 9255.901 9266.566 8.648
2145.349185 8803.546 8811.221 8.630
2145.369617 8416.502 8419.963 8.614
2145.390049 8011.385 8011.853 8.601
2145.410482 7737.848 7734.635 8.589
2145.430914 7406.252 7401.352 8.577
2145.451346 7081.446 7073.375 8.565
2145.471778 6848.817 6838.044 8.555
2145.492210 6564.565 6552.942 8.546
2145.512642 6439.961 6468.849 8.531
2145.533075 6280.098 6299.830 8.524
2145.553507 6171.227 6196.220 8.520
2145.573939 6119.565 6148.270 8.518
2145.594371 6007.355 6039.046 8.515
2145.614803 5925.216 5958.975 8.513
2145.635235 5852.987 5887.191 8.511
2145.655667 5912.283 5945.617 8.513
2145.676099 5968.916 6000.954 8.515
2145.696532 5853.148 5883.842 8.512
2145.716964 5606.425 5634.977 8.502
2145.737396 5384.982 5411.599 8.493
2145.757828 5259.495 5283.913 8.489
2145.778260 5639.041 5661.404 8.505
2145.798692 7678.533 7699.228 8.585
2145.819124 10613.645 10633.163 8.703
2145.839557 12636.957 12655.838 8.780
2145.859989 12372.119 12390.379 8.771
2145.880421 11474.738 11491.692 8.736
2145.900853 10674.020 10688.250 8.706
2145.921285 9990.519 10003.144 8.680
2145.941717 9511.206 9521.395 8.662
2145.962149 8947.025 8955.056 8.638
2145.982581 8548.568 8554.463 8.621
2146.023446 7847.044 7879.419 8.588
2146.043878 7503.841 7537.059 8.576
2146.064310 7198.159 7231.011 8.564
2146.084742 6910.147 6942.423 8.554
2146.105174 6690.518 6721.445 8.544
2146.125606 6485.948 6515.577 8.535
2146.146038 6321.745 6349.544 8.529
2146.166470 6195.865 6222.073 8.526
2146.186903 6082.373 6107.352 8.522
2146.207335 6038.946 6062.170 8.520
2146.227767 5934.386 5955.646 8.517
2146.248199 5853.408 5874.564 8.514
2146.268631 5859.116 5878.169 8.515
2146.289063 5943.892 5961.053 8.518
2146.309495 5894.621 5910.729 8.517
2146.329928 5711.221 5726.139 8.509
2146.350360 5478.353 5492.359 8.499
2146.370792 5277.565 5290.209 8.491
2146.391224 5394.869 5404.702 8.497
2146.411656 6601.565 6609.641 8.546
2146.432088 9546.380 9552.351 8.662
2146.452520 12124.804 12128.809 8.764
2146.472952 12601.482 12603.897 8.782
2146.493384 11864.643 11882.245 8.750
2146.513817 10973.267 11001.290 8.715
2146.534249 10249.286 10276.477 8.688
2146.554681 9628.445 9653.957 8.664
2146.575113 9201.049 9224.981 8.644
2146.595545 8723.528 8745.847 8.626
2146.615977 8295.223 8315.660 8.611
2146.636409 7944.495 7962.489 8.597
2146.656841 7646.917 7663.594 8.584
2146.677273 7325.959 7341.120 8.573
2146.697706 7024.542 7038.289 8.561
2146.718138 6776.229 6788.730 8.551
2146.738570 6563.400 6575.722 8.541
2146.759002 6374.304 6386.042 8.535
2146.779434 6256.487 6266.843 8.530
2146.799866 6137.964 6147.105 8.527
2146.820298 6068.192 6077.531 8.524
2146.840730 5999.510 6007.657 8.521
2146.861162 5932.996 5940.645 8.519
2146.881595 5848.079 5854.141 8.517
2146.902027 5934.273 5939.386 8.519
2146.922459 5968.789 5972.369 8.520
2146.942891 5807.636 5810.226 8.516
2146.963323 5574.458 5576.598 8.507
2146.983755 5364.504 5364.446 8.496
2147.004187 5327.616 5327.396 8.495
2147.024619 5885.903 5884.355 8.519
2147.045051 8352.322 8349.629 8.616
2147.065483 11114.605 11111.111 8.724
2147.085916 12613.953 12609.892 8.783
2147.106348 12120.818 12115.954 8.763
2147.126780 11280.541 11274.749 8.730
2147.147212 10482.820 10477.656 8.702
2147.167644 9823.334 9818.579 8.676
2147.188076 9326.440 9319.631 8.656
2147.208508 8854.792 8846.455 8.636
2147.228940 8459.768 8452.265 8.621
2147.249372 8074.489 8064.919 8.607
2147.269804 7763.026 7751.131 8.593
2147.290237 7441.103 7428.692 8.581
2147.310669 7134.703 7122.004 8.570
2147.331101 6887.338 6873.518 8.560
2147.351533 6650.457 6636.174 8.550
2147.371965 6426.134 6411.964 8.542
2147.392397 6307.847 6292.728 8.537
2147.412829 6141.367 6125.977 8.531
2147.433261 6123.019 6107.829 8.528
2147.453693 6036.727 6021.048 8.526
2147.474125 5944.781 5973.749 8.517
2147.494557 5910.604 5941.018 8.515
2147.514989 5904.279 5934.608 8.514
2147.535422 5957.486 5987.390 8.518
2147.555854 5865.297 5895.381 8.514
2147.576286 5659.359 5689.333 8.506
2147.596718 5420.196 5450.229 8.497
2147.617150 5236.216 5265.545 8.491
2147.637582 5527.248 5556.480 8.500
2147.658014 7113.351 7140.958 8.563
2147.678446 10056.454 10082.654 8.681
2147.698878 12433.569 12458.144 8.774
2147.719310 12547.254 12570.729 8.779
2147.739742 11650.514 11672.569 8.746
2147.760175 10850.545 10871.633 8.715
2147.780607 10110.484 10130.743 8.684
2147.801039 9532.309 9552.115 8.662
2147.821471 9061.478 9079.866 8.644
2147.841903 8623.773 8642.386 8.626
2147.862335 8228.493 8247.028 8.612
2147.882767 7888.750 7906.939 8.597
2147.903199 7588.203 7604.807 8.585
2147.923631 7240.122 7254.969 8.573
2147.944063 6970.693 6985.854 8.562
2147.984927 6526.975 6553.967 8.540
2148.005360 6338.380 6364.609 8.534
2148.025792 6231.728 6257.542 8.530
2148.046224 6118.084 6142.523 8.525
2148.066656 6048.188 6070.924 8.524
2148.087088 5980.057 5999.957 8.521
2148.107520 5881.295 5898.589 8.517
2148.127952 5841.493 5858.507 8.517
2148.148384 5909.105 5923.385 8.520
2148.168816 5956.639 5969.478 8.521
2148.189248 5734.676 5747.160 8.514
2148.209680 5494.299 5506.924 8.503
2148.230112 5264.919 5276.794 8.495
2148.250544 5324.190 5335.065 8.497
2148.270976 6179.378 6188.989 8.532
2148.291409 8989.116 8996.487 8.642
2148.311841 11780.070 11786.229 8.751
2148.332273 12747.378 12751.639 8.791
2148.352705 12022.865 12026.317 8.762
2148.373137 11127.943 11129.803 8.727
2148.393569 10327.394 10328.065 8.699
2148.414001 9751.377 9750.650 8.673
